"region","markanvändningsklass","X2015"
"Täby","vatten",534
"Täby","övrig mark",1035
"Täby","total landareal",6069
"Danderyd","åkermark",59
"Danderyd","betesmark",10
"Danderyd","skogsmark, produktiv",595
"Danderyd","skogsmark, improduktiv",113
"Danderyd","total skogsmark",708
"Danderyd","bebyggd mark och tillhörande mark",1402
"Danderyd","täkter och gruvområden",0
"Danderyd","golfbanor och skidpistar",94
"Danderyd","vatten",15
"Danderyd","övrig mark",368
"Danderyd","total landareal",2640
"Sollentuna","åkermark",137
"Sollentuna","betesmark",108
"Sollentuna","skogsmark, produktiv",1718
"Sollentuna","skogsmark, improduktiv",326
"Sollentuna","total skogsmark",2044
"Sollentuna","bebyggd mark och tillhörande mark",1922
"Sollentuna","täkter och gruvområden",0
"Sollentuna","golfbanor och skidpistar",196
"Sollentuna","vatten",321
"Sollentuna","övrig mark",855
"Sollentuna","total landareal",5262
"Stockholm","åkermark",196
"Stockholm","betesmark",63
"Stockholm","skogsmark, produktiv",3632
"Stockholm","skogsmark, improduktiv",688
"Stockholm","total skogsmark",4320
"Stockholm","bebyggd mark och tillhörande mark",10334
"Stockholm","täkter och gruvområden",6
"Stockholm","golfbanor och skidpistar",59
"Stockholm","vatten",2017
"Stockholm","övrig mark",3737
"Stockholm","total landareal",18716
"Södertälje","åkermark",9455
"Södertälje","betesmark",1018
"Södertälje","skogsmark, produktiv",24556
"Södertälje","skogsmark, improduktiv",4655
"Södertälje","total skogsmark",29211
"Södertälje","bebyggd mark och tillhörande mark",5109
"Södertälje","täkter och gruvområden",184
"Södertälje","golfbanor och skidpistar",245
"Södertälje","vatten",8570
"Södertälje","övrig mark",7264
"Södertälje","total landareal",52486
"Nacka","åkermark",128
"Nacka","betesmark",58
"Nacka","skogsmark, produktiv",4008
"Nacka","skogsmark, improduktiv",760
"Nacka","total skogsmark",4768
"Nacka","bebyggd mark och tillhörande mark",3482
"Nacka","täkter och gruvområden",11
"Nacka","golfbanor och skidpistar",127
"Nacka","vatten",413
"Nacka","övrig mark",938
"Nacka","total landareal",9512
"Sundbyberg","åkermark",0
"Sundbyberg","betesmark",7
"Sundbyberg","skogsmark, produktiv",182
"Sundbyberg","skogsmark, improduktiv",35
"Sundbyberg","total skogsmark",217
"Sundbyberg","bebyggd mark och tillhörande mark",443
"Sundbyberg","täkter och gruvområden",0
"Sundbyberg","golfbanor och skidpistar",0
"Sundbyberg","vatten",10
"Sundbyberg","övrig mark",202
"Sundbyberg","total landareal",869
"Solna","åkermark",13
"Solna","betesmark",15
"Solna","skogsmark, produktiv",387
"Solna","skogsmark, improduktiv",73
"Solna","total skogsmark",460
"Solna","bebyggd mark och tillhörande mark",1001
"Solna","täkter och gruvområden",0
"Solna","golfbanor och skidpistar",23
"Solna","vatten",72
"Solna","övrig mark",417
"Solna","total landareal",1929
"Lidingö","åkermark",110
"Lidingö","betesmark",34
"Lidingö","skogsmark, produktiv",991
"Lidingö","skogsmark, improduktiv",188
"Lidingö","total skogsmark",1179
"Lidingö","bebyggd mark och tillhörande mark",1306
"Lidingö","täkter och gruvområden",0
"Lidingö","golfbanor och skidpistar",55
"Lidingö","vatten",38
"Lidingö","övrig mark",396
"Lidingö","total landareal",3080
"Vaxholm","åkermark",272
"Vaxholm","betesmark",107
"Vaxholm","skogsmark, produktiv",3109
"Vaxholm","skogsmark, improduktiv",589
"Vaxholm","total skogsmark",3698
"Vaxholm","bebyggd mark och tillhörande mark",1297
"Vaxholm","täkter och gruvområden",0
"Vaxholm","golfbanor och skidpistar",80
"Vaxholm","vatten",51
"Vaxholm","övrig mark",329
"Vaxholm","total landareal",5784
"Norrtälje","åkermark",25075
"Norrtälje","betesmark",3823
"Norrtälje","skogsmark, produktiv",106873
"Norrtälje","skogsmark, improduktiv",20259
"Norrtälje","total skogsmark",127132
"Norrtälje","bebyggd mark och tillhörande mark",15683
"Norrtälje","täkter och gruvområden",345
"Norrtälje","golfbanor och skidpistar",410
"Norrtälje","vatten",9863
"Norrtälje","övrig mark",29068
"Norrtälje","total landareal",201535
"Sigtuna","åkermark",8863
"Sigtuna","betesmark",701
"Sigtuna","skogsmark, produktiv",11715
"Sigtuna","skogsmark, improduktiv",2221
"Sigtuna","total skogsmark",13936
"Sigtuna","bebyggd mark och tillhörande mark",3896
"Sigtuna","täkter och gruvområden",130
"Sigtuna","golfbanor och skidpistar",537
"Sigtuna","vatten",2260
"Sigtuna","övrig mark",4703
"Sigtuna","total landareal",32766
"Nynäshamn","åkermark",5302
"Nynäshamn","betesmark",387
