"region","markanvändningsklass","X2015"
"Uppvidinge","betesmark",1813
"Uppvidinge","skogsmark, produktiv",95583
"Uppvidinge","skogsmark, improduktiv",12514
"Uppvidinge","total skogsmark",108097
"Uppvidinge","bebyggd mark och tillhörande mark",3517
"Uppvidinge","täkter och gruvområden",137
"Uppvidinge","golfbanor och skidpistar",20
"Uppvidinge","vatten",5477
"Uppvidinge","övrig mark",1204
"Uppvidinge","total landareal",117188
"Lessebo","åkermark",760
"Lessebo","betesmark",505
"Lessebo","skogsmark, produktiv",32713
"Lessebo","skogsmark, improduktiv",4283
"Lessebo","total skogsmark",36996
"Lessebo","bebyggd mark och tillhörande mark",1680
"Lessebo","täkter och gruvområden",36
"Lessebo","golfbanor och skidpistar",5
"Lessebo","vatten",4382
"Lessebo","övrig mark",1272
"Lessebo","total landareal",41254
"Tingsryd","åkermark",4498
"Tingsryd","betesmark",2376
"Tingsryd","skogsmark, produktiv",80324
"Tingsryd","skogsmark, improduktiv",10516
"Tingsryd","total skogsmark",90840
"Tingsryd","bebyggd mark och tillhörande mark",4752
"Tingsryd","täkter och gruvområden",257
"Tingsryd","golfbanor och skidpistar",63
"Tingsryd","vatten",16249
"Tingsryd","övrig mark",1690
"Tingsryd","total landareal",104476
"Alvesta","åkermark",8396
"Alvesta","betesmark",3381
"Alvesta","skogsmark, produktiv",68988
"Alvesta","skogsmark, improduktiv",9032
"Alvesta","total skogsmark",78020
"Alvesta","bebyggd mark och tillhörande mark",4479
"Alvesta","täkter och gruvområden",412
"Alvesta","golfbanor och skidpistar",80
"Alvesta","vatten",10015
"Alvesta","övrig mark",2643
"Alvesta","total landareal",97411
"Älmhult","åkermark",3575
"Älmhult","betesmark",2568
"Älmhult","skogsmark, produktiv",64835
"Älmhult","skogsmark, improduktiv",8488
"Älmhult","total skogsmark",73323
"Älmhult","bebyggd mark och tillhörande mark",3985
"Älmhult","täkter och gruvområden",501
"Älmhult","golfbanor och skidpistar",41
"Älmhult","vatten",8772
"Älmhult","övrig mark",5058
"Älmhult","total landareal",89050
"Markaryd","åkermark",1554
"Markaryd","betesmark",666
"Markaryd","skogsmark, produktiv",36963
"Markaryd","skogsmark, improduktiv",4839
"Markaryd","total skogsmark",41802
"Markaryd","bebyggd mark och tillhörande mark",2747
"Markaryd","täkter och gruvområden",434
"Markaryd","golfbanor och skidpistar",0
"Markaryd","vatten",1569
"Markaryd","övrig mark",4513
"Markaryd","total landareal",51715
"Växjö","åkermark",13531
"Växjö","betesmark",5226
"Växjö","skogsmark, produktiv",119052
"Växjö","skogsmark, improduktiv",15586
"Växjö","total skogsmark",134639
"Växjö","bebyggd mark och tillhörande mark",8930
"Växjö","täkter och gruvområden",511
"Växjö","golfbanor och skidpistar",149
"Växjö","vatten",24880
"Växjö","övrig mark",3559
"Växjö","total landareal",166545
"Ljungby","åkermark",12312
"Ljungby","betesmark",4484
"Ljungby","skogsmark, produktiv",120507
"Ljungby","skogsmark, improduktiv",15777
"Ljungby","total skogsmark",136284
"Ljungby","bebyggd mark och tillhörande mark",7283
"Ljungby","täkter och gruvområden",1007
"Ljungby","golfbanor och skidpistar",81
"Ljungby","vatten",24725
"Ljungby","övrig mark",13338
"Ljungby","total landareal",174788
"Högsby","åkermark",3491
"Högsby","betesmark",2166
"Högsby","skogsmark, produktiv",55678
"Högsby","skogsmark, improduktiv",5135
"Högsby","total skogsmark",60812
"Högsby","bebyggd mark och tillhörande mark",2504
"Högsby","täkter och gruvområden",50
"Högsby","golfbanor och skidpistar",3
"Högsby","vatten",4832
"Högsby","övrig mark",6083
"Högsby","total landareal",75110
"Torsås","åkermark",5652
"Torsås","betesmark",1318
"Torsås","skogsmark, produktiv",30957
"Torsås","skogsmark, improduktiv",2855
"Torsås","total skogsmark",33812
"Torsås","bebyggd mark och tillhörande mark",1993
"Torsås","täkter och gruvområden",0
"Torsås","golfbanor och skidpistar",60
"Torsås","vatten",159
"Torsås","övrig mark",4000
"Torsås","total landareal",46835
"Mörbylånga","åkermark",19848
"Mörbylånga","betesmark",29685
"Mörbylånga","skogsmark, produktiv",7708
"Mörbylånga","skogsmark, improduktiv",711
"Mörbylånga","total skogsmark",8418
"Mörbylånga","bebyggd mark och tillhörande mark",3116
"Mörbylånga","täkter och gruvområden",216
"Mörbylånga","golfbanor och skidpistar",116
"Mörbylånga","vatten",120
"Mörbylånga","övrig mark",5326
"Mörbylånga","total landareal",66725
"Hultsfred","åkermark",6878
"Hultsfred","betesmark",2898
"Hultsfred","skogsmark, produktiv",81952
"Hultsfred","skogsmark, improduktiv",7558
"Hultsfred","total skogsmark",89510
"Hultsfred","bebyggd mark och tillhörande mark",4348
"Hultsfred","täkter och gruvområden",66
"Hultsfred","golfbanor och skidpistar",7
"Hultsfred","vatten",6550
"Hultsfred","övrig mark",8444
"Hultsfred","total landareal",112150
"Mönsterås","åkermark",6079
"Mönsterås","betesmark",2181
"Mönsterås","skogsmark, produktiv",40406
"Mönsterås","skogsmark, improduktiv",3726
"Mönsterås","total skogsmark",44132
"Mönsterås","bebyggd mark och tillhörande mark",2625
"Mönsterås","täkter och gruvområden",18
"Mönsterås","golfbanor och skidpistar",43
"Mönsterås","vatten",862
"Mönsterås","övrig mark",4862
"Mönsterås","total landareal",59941
"Emmaboda","åkermark",1988
"Emmaboda","betesmark",1482
"Emmaboda","skogsmark, produktiv",51674
"Emmaboda","skogsmark, improduktiv",4765
"Emmaboda","total skogsmark",56439
"Emmaboda","bebyggd mark och tillhörande mark",2814
"Emmaboda","täkter och gruvområden",45
"Emmaboda","golfbanor och skidpistar",48
"Emmaboda","vatten",2899
"Emmaboda","övrig mark",6138
"Emmaboda","total landareal",68954
"Kalmar","åkermark",20531
"Kalmar","betesmark",3184
"Kalmar","skogsmark, produktiv",53414
"Kalmar","skogsmark, improduktiv",4926
"Kalmar","total skogsmark",58340
"Kalmar","bebyggd mark och tillhörande mark",6654
"Kalmar","täkter och gruvområden",155
"Kalmar","golfbanor och skidpistar",130
"Kalmar","vatten",396
"Kalmar","övrig mark",6668
"Kalmar","total landareal",95662
"Nybro","åkermark",4636
"Nybro","betesmark",2381
"Nybro","skogsmark, produktiv",87717
"Nybro","skogsmark, improduktiv",8089
"Nybro","total skogsmark",95806
"Nybro","bebyggd mark och tillhörande mark",4361
"Nybro","täkter och gruvområden",74
"Nybro","golfbanor och skidpistar",65
"Nybro","vatten",2991
"Nybro","övrig mark",9849
"Nybro","total landareal",117172
"Oskarshamn","åkermark",3160
"Oskarshamn","betesmark",2020
"Oskarshamn","skogsmark, produktiv",78179
"Oskarshamn","skogsmark, improduktiv",7210
"Oskarshamn","total skogsmark",85389
"Oskarshamn","bebyggd mark och tillhörande mark",4341
"Oskarshamn","täkter och gruvområden",157
"Oskarshamn","golfbanor och skidpistar",52
"Oskarshamn","vatten",4831
"Oskarshamn","övrig mark",9547
"Oskarshamn","total landareal",104666
"Västervik","åkermark",19156
"Västervik","betesmark",6530
"Västervik","skogsmark, produktiv",128211
"Västervik","skogsmark, improduktiv",11824
"Västervik","total skogsmark",140035
"Västervik","bebyggd mark och tillhörande mark",7242
"Västervik","täkter och gruvområden",131
"Västervik","golfbanor och skidpistar",90
"Västervik","vatten",15245
"Västervik","övrig mark",14263
"Västervik","total landareal",187447
"Vimmerby","åkermark",7938
"Vimmerby","betesmark",4379
"Vimmerby","skogsmark, produktiv",81097
"Vimmerby","skogsmark, improduktiv",7479
"Vimmerby","total skogsmark",88576
"Vimmerby","bebyggd mark och tillhörande mark",4380
"Vimmerby","täkter och gruvområden",88
"Vimmerby","golfbanor och skidpistar",74
"Vimmerby","vatten",7958
"Vimmerby","övrig mark",8587
"Vimmerby","total landareal",114022
"Borgholm","åkermark",20953
"Borgholm","betesmark",15069
"Borgholm","skogsmark, produktiv",18980
"Borgholm","skogsmark, improduktiv",1750
"Borgholm","total skogsmark",20731
"Borgholm","bebyggd mark och tillhörande mark",4676
"Borgholm","täkter och gruvområden",82
"Borgholm","golfbanor och skidpistar",284
"Borgholm","vatten",356
"Borgholm","övrig mark",5989
"Borgholm","total landareal",67784
"Gotland","åkermark",85846
"Gotland","betesmark",25734
"Gotland","skogsmark, produktiv",107751
"Gotland","skogsmark, improduktiv",33249
"Gotland","total skogsmark",141000
"Gotland","bebyggd mark och tillhörande mark",15467
"Gotland","täkter och gruvområden",1393
"Gotland","golfbanor och skidpistar",431
"Gotland","vatten",3177
"Gotland","övrig mark",43627
"Gotland","total landareal",313498
"Olofström","åkermark",1901
"Olofström","betesmark",1129
"Olofström","skogsmark, produktiv",30449
"Olofström","skogsmark, improduktiv",2238
"Olofström","total skogsmark",32687
"Olofström","bebyggd mark och tillhörande mark",2511
"Olofström","täkter och gruvområden",19
"Olofström","golfbanor och skidpistar",51
"Olofström","vatten",2365
"Olofström","övrig mark",680
"Olofström","total landareal",38979
"Karlskrona","åkermark",10246
"Karlskrona","betesmark",4558
"Karlskrona","skogsmark, produktiv",71879
"Karlskrona","skogsmark, improduktiv",5284
"Karlskrona","total skogsmark",77163
"Karlskrona","bebyggd mark och tillhörande mark",8182
"Karlskrona","täkter och gruvområden",25
"Karlskrona","golfbanor och skidpistar",114
"Karlskrona","vatten",2760
"Karlskrona","övrig mark",3917
"Karlskrona","total landareal",104205
"Ronneby","åkermark",7405
"Ronneby","betesmark",3256
"Ronneby","skogsmark, produktiv",60776
"Ronneby","skogsmark, improduktiv",4468
"Ronneby","total skogsmark",65244
"Ronneby","bebyggd mark och tillhörande mark",5199
"Ronneby","täkter och gruvområden",124
"Ronneby","golfbanor och skidpistar",101
"Ronneby","vatten",3654
"Ronneby","övrig mark",1200
"Ronneby","total landareal",82529
"Karlshamn","åkermark",4184
"Karlshamn","betesmark",1241
"Karlshamn","skogsmark, produktiv",35077
"Karlshamn","skogsmark, improduktiv",2579
"Karlshamn","total skogsmark",37656
"Karlshamn","bebyggd mark och tillhörande mark",4211
"Karlshamn","täkter och gruvområden",131
"Karlshamn","golfbanor och skidpistar",80
"Karlshamn","vatten",1992
"Karlshamn","övrig mark",1365
"Karlshamn","total landareal",48868
"Sölvesborg","åkermark",6994
"Sölvesborg","betesmark",694
"Sölvesborg","skogsmark, produktiv",6754
"Sölvesborg","skogsmark, improduktiv",496
"Sölvesborg","total skogsmark",7250
"Sölvesborg","bebyggd mark och tillhörande mark",2350
"Sölvesborg","täkter och gruvområden",45
"Sölvesborg","golfbanor och skidpistar",43
"Sölvesborg","vatten",58
"Sölvesborg","övrig mark",1155
"Sölvesborg","total landareal",18531
"Svalöv","åkermark",21434
"Svalöv","betesmark",1271
"Svalöv","skogsmark, produktiv",11692
"Svalöv","skogsmark, improduktiv",1024
"Svalöv","total skogsmark",12716
"Svalöv","bebyggd mark och tillhörande mark",2130
"Svalöv","täkter och gruvområden",16
"Svalöv","golfbanor och skidpistar",106
"Svalöv","vatten",144
"Svalöv","övrig mark",1045
"Svalöv","total landareal",38718
"Staffanstorp","åkermark",8459
"Staffanstorp","betesmark",119
"Staffanstorp","skogsmark, produktiv",80
"Staffanstorp","skogsmark, improduktiv",7
"Staffanstorp","total skogsmark",87
"Staffanstorp","bebyggd mark och tillhörande mark",1361
"Staffanstorp","täkter och gruvområden",0
"Staffanstorp","golfbanor och skidpistar",9
"Staffanstorp","vatten",49
"Staffanstorp","övrig mark",643
"Staffanstorp","total landareal",10678
"Burlöv","åkermark",566
"Burlöv","betesmark",11
"Burlöv","skogsmark, produktiv",60
"Burlöv","skogsmark, improduktiv",5
"Burlöv","total skogsmark",65
"Burlöv","bebyggd mark och tillhörande mark",847
"Burlöv","täkter och gruvområden",0
"Burlöv","golfbanor och skidpistar",131
"Burlöv","vatten",13
"Burlöv","övrig mark",269
"Burlöv","total landareal",1890
"Vellinge","åkermark",8657
"Vellinge","betesmark",966
"Vellinge","skogsmark, produktiv",399
"Vellinge","skogsmark, improduktiv",35
"Vellinge","total skogsmark",434
"Vellinge","bebyggd mark och tillhörande mark",2517
"Vellinge","täkter och gruvområden",0
"Vellinge","golfbanor och skidpistar",324
"Vellinge","vatten",119
"Vellinge","övrig mark",1368
"Vellinge","total landareal",14266
"Östra Göinge","åkermark",6036
"Östra Göinge","betesmark",1975
"Östra Göinge","skogsmark, produktiv",28681
"Östra Göinge","skogsmark, improduktiv",2511
"Östra Göinge","total skogsmark",31192
"Östra Göinge","bebyggd mark och tillhörande mark",2572
"Östra Göinge","täkter och gruvområden",59
"Östra Göinge","golfbanor och skidpistar",53
"Östra Göinge","vatten",1930
"Östra Göinge","övrig mark",1297
"Östra Göinge","total landareal",43184
"Örkelljunga","åkermark",1992
"Örkelljunga","betesmark",822
"Örkelljunga","skogsmark, produktiv",22399
"Örkelljunga","skogsmark, improduktiv",1961
"Örkelljunga","total skogsmark",24361
"Örkelljunga","bebyggd mark och tillhörande mark",2279
"Örkelljunga","täkter och gruvområden",205
"Örkelljunga","golfbanor och skidpistar",70
"Örkelljunga","vatten",1020
"Örkelljunga","övrig mark",2222
"Örkelljunga","total landareal",31950
"Bjuv","åkermark",5856
"Bjuv","betesmark",238
"Bjuv","skogsmark, produktiv",2983
"Bjuv","skogsmark, improduktiv",261
"Bjuv","total skogsmark",3244
"Bjuv","bebyggd mark och tillhörande mark",1343
"Bjuv","täkter och gruvområden",13
"Bjuv","golfbanor och skidpistar",61
"Bjuv","vatten",49
"Bjuv","övrig mark",776
"Bjuv","total landareal",11531
"Kävlinge","åkermark",9943
"Kävlinge","betesmark",505
"Kävlinge","skogsmark, produktiv",1081
"Kävlinge","skogsmark, improduktiv",95
"Kävlinge","total skogsmark",1175
"Kävlinge","bebyggd mark och tillhörande mark",2064
"Kävlinge","täkter och gruvområden",0
"Kävlinge","golfbanor och skidpistar",239
"Kävlinge","vatten",109
"Kävlinge","övrig mark",1327
"Kävlinge","total landareal",15254
"Lomma","åkermark",3550
"Lomma","betesmark",134
"Lomma","skogsmark, produktiv",188
"Lomma","skogsmark, improduktiv",16
"Lomma","total skogsmark",204
"Lomma","bebyggd mark och tillhörande mark",1068
"Lomma","täkter och gruvområden",0
"Lomma","golfbanor och skidpistar",93
"Lomma","vatten",83
"Lomma","övrig mark",503
"Lomma","total landareal",5551
"Svedala","åkermark",11637
"Svedala","betesmark",1063
"Svedala","skogsmark, produktiv",4503
"Svedala","skogsmark, improduktiv",394
"Svedala","total skogsmark",4897
"Svedala","bebyggd mark och tillhörande mark",1944
"Svedala","täkter och gruvområden",23
"Svedala","golfbanor och skidpistar",408
"Svedala","vatten",920
"Svedala","övrig mark",1820
"Svedala","total landareal",21791
"Skurup","åkermark",14969
"Skurup","betesmark",299
"Skurup","skogsmark, produktiv",1273
"Skurup","skogsmark, improduktiv",111
"Skurup","total skogsmark",1384
"Skurup","bebyggd mark och tillhörande mark",1834
"Skurup","täkter och gruvområden",94
"Skurup","golfbanor och skidpistar",71
"Skurup","vatten",165
"Skurup","övrig mark",700
"Skurup","total landareal",19351
"Sjöbo","åkermark",26276
"Sjöbo","betesmark",4029
"Sjöbo","skogsmark, produktiv",12272
"Sjöbo","skogsmark, improduktiv",1075
"Sjöbo","total skogsmark",13347
"Sjöbo","bebyggd mark och tillhörande mark",3310
"Sjöbo","täkter och gruvområden",171
"Sjöbo","golfbanor och skidpistar",105
"Sjöbo","vatten",1463
"Sjöbo","övrig mark",1963
"Sjöbo","total landareal",49201
"Hörby","åkermark",16221
"Hörby","betesmark",4042
"Hörby","skogsmark, produktiv",16072
"Hörby","skogsmark, improduktiv",1407
"Hörby","total skogsmark",17480
"Hörby","bebyggd mark och tillhörande mark",2727
"Hörby","täkter och gruvområden",183
"Hörby","golfbanor och skidpistar",91
"Hörby","vatten",1370
"Hörby","övrig mark",1194
"Hörby","total landareal",41937
"Höör","åkermark",7220
"Höör","betesmark",1518
"Höör","skogsmark, produktiv",15406
"Höör","skogsmark, improduktiv",1349
"Höör","total skogsmark",16755
"Höör","bebyggd mark och tillhörande mark",2422
"Höör","täkter och gruvområden",96
"Höör","golfbanor och skidpistar",66
"Höör","vatten",2932
"Höör","övrig mark",979
"Höör","total landareal",29055
"Tomelilla","åkermark",22340
"Tomelilla","betesmark",2964
"Tomelilla","skogsmark, produktiv",9040
"Tomelilla","skogsmark, improduktiv",792
"Tomelilla","total skogsmark",9832
"Tomelilla","bebyggd mark och tillhörande mark",2674
"Tomelilla","täkter och gruvområden",13
"Tomelilla","golfbanor och skidpistar",71
"Tomelilla","vatten",146
"Tomelilla","övrig mark",1699
"Tomelilla","total landareal",39593
"Bromölla","åkermark",2855
"Bromölla","betesmark",1223
"Bromölla","skogsmark, produktiv",9006
"Bromölla","skogsmark, improduktiv",789
"Bromölla","total skogsmark",9795
"Bromölla","bebyggd mark och tillhörande mark",1623
"Bromölla","täkter och gruvområden",30
"Bromölla","golfbanor och skidpistar",0
"Bromölla","vatten",2278
"Bromölla","övrig mark",723
"Bromölla","total landareal",16249
"Osby","åkermark",1924
"Osby","betesmark",1747
"Osby","skogsmark, produktiv",44247
"Osby","skogsmark, improduktiv",3874
"Osby","total skogsmark",48122
"Osby","bebyggd mark och tillhörande mark",2981
"Osby","täkter och gruvområden",552
"Osby","golfbanor och skidpistar",1
"Osby","vatten",2347
"Osby","övrig mark",2311
"Osby","total landareal",57638
"Perstorp","åkermark",1417
"Perstorp","betesmark",614
"Perstorp","skogsmark, produktiv",10849
"Perstorp","skogsmark, improduktiv",950
"Perstorp","total skogsmark",11798
"Perstorp","bebyggd mark och tillhörande mark",1030
"Perstorp","täkter och gruvområden",299
"Perstorp","golfbanor och skidpistar",51
"Perstorp","vatten",316
"Perstorp","övrig mark",667
"Perstorp","total landareal",15877
"Klippan","åkermark",8644
"Klippan","betesmark",2244
"Klippan","skogsmark, produktiv",20085
"Klippan","skogsmark, improduktiv",1759
"Klippan","total skogsmark",21844
"Klippan","bebyggd mark och tillhörande mark",3001
"Klippan","täkter och gruvområden",141
"Klippan","golfbanor och skidpistar",60
"Klippan","vatten",509
"Klippan","övrig mark",1498
"Klippan","total landareal",37432
"Åstorp","åkermark",5246
"Åstorp","betesmark",188
"Åstorp","skogsmark, produktiv",1495
"Åstorp","skogsmark, improduktiv",131
"Åstorp","total skogsmark",1626
"Åstorp","bebyggd mark och tillhörande mark",1347
"Åstorp","täkter och gruvområden",181
"Åstorp","golfbanor och skidpistar",60
"Åstorp","vatten",27
"Åstorp","övrig mark",587
"Åstorp","total landareal",9235
"Båstad","åkermark",10184
"Båstad","betesmark",1630
"Båstad","skogsmark, produktiv",4926
"Båstad","skogsmark, improduktiv",431
"Båstad","total skogsmark",5358
"Båstad","bebyggd mark och tillhörande mark",2658
"Båstad","täkter och gruvområden",28
"Båstad","golfbanor och skidpistar",304
"Båstad","vatten",62
"Båstad","övrig mark",1551
"Båstad","total landareal",21713
"Malmö","åkermark",4571
"Malmö","betesmark",311
"Malmö","skogsmark, produktiv",379
"Malmö","skogsmark, improduktiv",33
"Malmö","total skogsmark",412
"Malmö","bebyggd mark och tillhörande mark",6865
"Malmö","täkter och gruvområden",100
"Malmö","golfbanor och skidpistar",238
"Malmö","vatten",176
"Malmö","övrig mark",3162
"Malmö","total landareal",15660
"Lund","åkermark",19917
"Lund","betesmark",3622
"Lund","skogsmark, produktiv",9497
"Lund","skogsmark, improduktiv",832
"Lund","total skogsmark",10328
"Lund","bebyggd mark och tillhörande mark",4741
"Lund","täkter och gruvområden",253
"Lund","golfbanor och skidpistar",248
"Lund","vatten",1284
"Lund","övrig mark",3598
"Lund","total landareal",42707
"Landskrona","åkermark",9425
"Landskrona","betesmark",261
"Landskrona","skogsmark, produktiv",607
"Landskrona","skogsmark, improduktiv",53
"Landskrona","total skogsmark",660
"Landskrona","bebyggd mark och tillhörande mark",2237
"Landskrona","täkter och gruvområden",0
"Landskrona","golfbanor och skidpistar",200
"Landskrona","vatten",76
"Landskrona","övrig mark",1242
"Landskrona","total landareal",14026
"Helsingborg","åkermark",22426
"Helsingborg","betesmark",441
"Helsingborg","skogsmark, produktiv",2805
"Helsingborg","skogsmark, improduktiv",246
"Helsingborg","total skogsmark",3050
"Helsingborg","bebyggd mark och tillhörande mark",5940
"Helsingborg","täkter och gruvområden",0
"Helsingborg","golfbanor och skidpistar",353
"Helsingborg","vatten",143
"Helsingborg","övrig mark",2178
"Helsingborg","total landareal",34389
"Höganäs","åkermark",9019
"Höganäs","betesmark",482
"Höganäs","skogsmark, produktiv",1260
"Höganäs","skogsmark, improduktiv",110
"Höganäs","total skogsmark",1370
"Höganäs","bebyggd mark och tillhörande mark",2102
"Höganäs","täkter och gruvområden",0
"Höganäs","golfbanor och skidpistar",143
"Höganäs","vatten",38
"Höganäs","övrig mark",1234
"Höganäs","total landareal",14350
"Eslöv","åkermark",28796
"Eslöv","betesmark",970
"Eslöv","skogsmark, produktiv",5922
"Eslöv","skogsmark, improduktiv",519
"Eslöv","total skogsmark",6440
"Eslöv","bebyggd mark och tillhörande mark",3424
"Eslöv","täkter och gruvområden",263
"Eslöv","golfbanor och skidpistar",56
"Eslöv","vatten",566
"Eslöv","övrig mark",1952
"Eslöv","total landareal",41902
"Ystad","åkermark",23940
"Ystad","betesmark",1685
"Ystad","skogsmark, produktiv",3866
"Ystad","skogsmark, improduktiv",339
"Ystad","total skogsmark",4205
"Ystad","bebyggd mark och tillhörande mark",3055
"Ystad","täkter och gruvområden",45
"Ystad","golfbanor och skidpistar",59
"Ystad","vatten",504
"Ystad","övrig mark",2011
"Ystad","total landareal",35000
"Trelleborg","åkermark",27743
"Trelleborg","betesmark",357
"Trelleborg","skogsmark, produktiv",893
"Trelleborg","skogsmark, improduktiv",78
"Trelleborg","total skogsmark",972
"Trelleborg","bebyggd mark och tillhörande mark",3578
"Trelleborg","täkter och gruvområden",10
"Trelleborg","golfbanor och skidpistar",205
"Trelleborg","vatten",238
"Trelleborg","övrig mark",1115
"Trelleborg","total landareal",33980
"Kristianstad","åkermark",43147
"Kristianstad","betesmark",10141
"Kristianstad","skogsmark, produktiv",49197
"Kristianstad","skogsmark, improduktiv",4308
"Kristianstad","total skogsmark",53505
"Kristianstad","bebyggd mark och tillhörande mark",10055
"Kristianstad","täkter och gruvområden",325
"Kristianstad","golfbanor och skidpistar",485
"Kristianstad","vatten",9413
"Kristianstad","övrig mark",6864
"Kristianstad","total landareal",124522
"Simrishamn","åkermark",21538
"Simrishamn","betesmark",3203
"Simrishamn","skogsmark, produktiv",7997
"Simrishamn","skogsmark, improduktiv",700
"Simrishamn","total skogsmark",8697
"Simrishamn","bebyggd mark och tillhörande mark",3675
"Simrishamn","täkter och gruvområden",49
"Simrishamn","golfbanor och skidpistar",163
"Simrishamn","vatten",110
"Simrishamn","övrig mark",1909
"Simrishamn","total landareal",39234
"Ängelholm","åkermark",18010
"Ängelholm","betesmark",930
"Ängelholm","skogsmark, produktiv",15080
"Ängelholm","skogsmark, improduktiv",1320
"Ängelholm","total skogsmark",16400
"Ängelholm","bebyggd mark och tillhörande mark",4305
"Ängelholm","täkter och gruvområden",147
"Ängelholm","golfbanor och skidpistar",72
"Ängelholm","vatten",1129
"Ängelholm","övrig mark",2122
"Ängelholm","total landareal",41987
"Hässleholm","åkermark",18810
"Hässleholm","betesmark",5869
"Hässleholm","skogsmark, produktiv",80220
"Hässleholm","skogsmark, improduktiv",7024
"Hässleholm","total skogsmark",87245
"Hässleholm","bebyggd mark och tillhörande mark",8273
"Hässleholm","täkter och gruvområden",637
"Hässleholm","golfbanor och skidpistar",150
"Hässleholm","vatten",3742
"Hässleholm","övrig mark",5914
"Hässleholm","total landareal",126897
"Hylte","åkermark",2964
"Hylte","betesmark",1336
"Hylte","skogsmark, produktiv",60947
"Hylte","skogsmark, improduktiv",12757
"Hylte","total skogsmark",73704
"Hylte","bebyggd mark och tillhörande mark",3669
"Hylte","täkter och gruvområden",296
"Hylte","golfbanor och skidpistar",56
"Hylte","vatten",10007
"Hylte","övrig mark",12628
"Hylte","total landareal",94653
"Halmstad","åkermark",21066
"Halmstad","betesmark",2049
"Halmstad","skogsmark, produktiv",46668
"Halmstad","skogsmark, improduktiv",9769
"Halmstad","total skogsmark",56436
"Halmstad","bebyggd mark och tillhörande mark",8439
"Halmstad","täkter och gruvområden",285
"Halmstad","golfbanor och skidpistar",555
"Halmstad","vatten",1698
"Halmstad","övrig mark",12566
"Halmstad","total landareal",101397
"Laholm","åkermark",22131
"Laholm","betesmark",2917
"Laholm","skogsmark, produktiv",38633
"Laholm","skogsmark, improduktiv",8087
"Laholm","total skogsmark",46719
"Laholm","bebyggd mark och tillhörande mark",5482
"Laholm","täkter och gruvområden",85
"Laholm","golfbanor och skidpistar",175
"Laholm","vatten",1934
"Laholm","övrig mark",10771
"Laholm","total landareal",88280
"Falkenberg","åkermark",27515
"Falkenberg","betesmark",3551
"Falkenberg","skogsmark, produktiv",51419
"Falkenberg","skogsmark, improduktiv",10763
"Falkenberg","total skogsmark",62182
"Falkenberg","bebyggd mark och tillhörande mark",7117
"Falkenberg","täkter och gruvområden",112
"Falkenberg","golfbanor och skidpistar",373
"Falkenberg","vatten",4781
"Falkenberg","övrig mark",10003
"Falkenberg","total landareal",110853
"Varberg","åkermark",24619
"Varberg","betesmark",4290
"Varberg","skogsmark, produktiv",34190
"Varberg","skogsmark, improduktiv",7157
"Varberg","total skogsmark",41347
"Varberg","bebyggd mark och tillhörande mark",7338
"Varberg","täkter och gruvområden",182
"Varberg","golfbanor och skidpistar",250
"Varberg","vatten",4103
"Varberg","övrig mark",8836
"Varberg","total landareal",86862
"Kungsbacka","åkermark",10602
"Kungsbacka","betesmark",1886
"Kungsbacka","skogsmark, produktiv",26139
"Kungsbacka","skogsmark, improduktiv",5472
"Kungsbacka","total skogsmark",31611
"Kungsbacka","bebyggd mark och tillhörande mark",6881
"Kungsbacka","täkter och gruvområden",65
"Kungsbacka","golfbanor och skidpistar",359
"Kungsbacka","vatten",3517
"Kungsbacka","övrig mark",9255
"Kungsbacka","total landareal",60660
"Härryda","åkermark",700
"Härryda","betesmark",243
"Härryda","skogsmark, produktiv",16332
"Härryda","skogsmark, improduktiv",3492
"Härryda","total skogsmark",19824
"Härryda","bebyggd mark och tillhörande mark",3304
"Härryda","täkter och gruvområden",57
"Härryda","golfbanor och skidpistar",54
"Härryda","vatten",2496
"Härryda","övrig mark",2488
"Härryda","total landareal",26670
"Partille","åkermark",104
"Partille","betesmark",57
"Partille","skogsmark, produktiv",3017
"Partille","skogsmark, improduktiv",645
"Partille","total skogsmark",3662
"Partille","bebyggd mark och tillhörande mark",1115
"Partille","täkter och gruvområden",0
"Partille","golfbanor och skidpistar",57
"Partille","vatten",161
"Partille","övrig mark",686
"Partille","total landareal",5680
"Öckerö","åkermark",0
"Öckerö","betesmark",10
"Öckerö","skogsmark, produktiv",141
"Öckerö","skogsmark, improduktiv",30
"Öckerö","total skogsmark",171
"Öckerö","bebyggd mark och tillhörande mark",664
"Öckerö","täkter och gruvområden",0
"Öckerö","golfbanor och skidpistar",0
"Öckerö","vatten",13
"Öckerö","övrig mark",1730
"Öckerö","total landareal",2575
"Stenungsund","åkermark",2547
"Stenungsund","betesmark",502
"Stenungsund","skogsmark, produktiv",13697
"Stenungsund","skogsmark, improduktiv",2929
"Stenungsund","total skogsmark",16626
"Stenungsund","bebyggd mark och tillhörande mark",2814
"Stenungsund","täkter och gruvområden",86
"Stenungsund","golfbanor och skidpistar",97
"Stenungsund","vatten",1402
"Stenungsund","övrig mark",2515
"Stenungsund","total landareal",25187
"Tjörn","åkermark",1736
"Tjörn","betesmark",1137
"Tjörn","skogsmark, produktiv",4303
"Tjörn","skogsmark, improduktiv",920
"Tjörn","total skogsmark",5222
"Tjörn","bebyggd mark och tillhörande mark",2440
"Tjörn","täkter och gruvområden",16
"Tjörn","golfbanor och skidpistar",46
