"Municipality","SchoolOrganiser","Gender","Students","value"
"Bollebygd","Samtliga","Samtliga","Eligible",108
"Bollebygd","Samtliga","Samtliga","Ineligible",12
"Bollebygd","Kommunal","Samtliga","Total",120
"Bollebygd","Kommunal","Samtliga","Eligible",108
"Bollebygd","Kommunal","Samtliga","Ineligible",12
"Bollnäs","Samtliga","Samtliga","Total",306
"Bollnäs","Samtliga","Samtliga","Eligible",249.084
"Bollnäs","Samtliga","Samtliga","Ineligible",56.916
"Bollnäs","Kommunal","Samtliga","Total",187
"Bollnäs","Kommunal","Samtliga","Eligible",134.079
"Bollnäs","Kommunal","Samtliga","Ineligible",52.921
"Bollnäs","Enskild","Samtliga","Total",119
"Bollnäs","Enskild","Samtliga","Eligible",119
"Bollnäs","Enskild","Samtliga","Ineligible",0
"Borgholm","Samtliga","Samtliga","Total",90
"Borgholm","Samtliga","Samtliga","Eligible",66.96
"Borgholm","Samtliga","Samtliga","Ineligible",23.04
"Borgholm","Kommunal","Samtliga","Total",90
"Borgholm","Kommunal","Samtliga","Eligible",66.96
"Borgholm","Kommunal","Samtliga","Ineligible",23.04
"Borlänge","Samtliga","Samtliga","Total",681
"Borlänge","Samtliga","Samtliga","Eligible",486.915
"Borlänge","Samtliga","Samtliga","Ineligible",194.085
"Borlänge","Kommunal","Samtliga","Total",579
"Borlänge","Kommunal","Samtliga","Eligible",408.195
"Borlänge","Kommunal","Samtliga","Ineligible",170.805
"Borlänge","Enskild","Samtliga","Total",102
"Borlänge","Enskild","Samtliga","Eligible",79.05
"Borlänge","Enskild","Samtliga","Ineligible",22.95
"Borås","Samtliga","Samtliga","Total",1259
"Borås","Samtliga","Samtliga","Eligible",1041.193
"Borås","Samtliga","Samtliga","Ineligible",217.807
"Borås","Kommunal","Samtliga","Total",1046
"Borås","Kommunal","Samtliga","Eligible",835.754
"Borås","Kommunal","Samtliga","Ineligible",210.246
"Borås","Enskild","Samtliga","Total",213
"Borås","Enskild","Samtliga","Eligible",213
"Borås","Enskild","Samtliga","Ineligible",0
"Botkyrka","Samtliga","Samtliga","Total",992
"Botkyrka","Samtliga","Samtliga","Eligible",828.32
"Botkyrka","Samtliga","Samtliga","Ineligible",163.68
"Botkyrka","Kommunal","Samtliga","Total",842
"Botkyrka","Kommunal","Samtliga","Eligible",702.228
"Botkyrka","Kommunal","Samtliga","Ineligible",139.772
"Botkyrka","Enskild","Samtliga","Total",150
"Botkyrka","Enskild","Samtliga","Eligible",126
"Botkyrka","Enskild","Samtliga","Ineligible",24
"Boxholm","Samtliga","Samtliga","Total",46
"Boxholm","Samtliga","Samtliga","Eligible",46
"Boxholm","Samtliga","Samtliga","Ineligible",0
"Boxholm","Kommunal","Samtliga","Total",46
"Boxholm","Kommunal","Samtliga","Eligible",46
"Boxholm","Kommunal","Samtliga","Ineligible",0
"Bromölla","Samtliga","Samtliga","Total",124
"Bromölla","Samtliga","Samtliga","Eligible",93.992
"Bromölla","Samtliga","Samtliga","Ineligible",30.008
"Bromölla","Kommunal","Samtliga","Total",124
"Bromölla","Kommunal","Samtliga","Eligible",93.992
"Bromölla","Kommunal","Samtliga","Ineligible",30.008
"Bräcke","Samtliga","Samtliga","Total",69
"Bräcke","Samtliga","Samtliga","Eligible",50.991
"Bräcke","Samtliga","Samtliga","Ineligible",18.009
"Bräcke","Kommunal","Samtliga","Total",69
"Bräcke","Kommunal","Samtliga","Eligible",50.991
"Bräcke","Kommunal","Samtliga","Ineligible",18.009
"Burlöv","Samtliga","Samtliga","Total",158
"Burlöv","Samtliga","Samtliga","Eligible",124.978
"Burlöv","Samtliga","Samtliga","Ineligible",33.022
"Burlöv","Kommunal","Samtliga","Total",158
"Burlöv","Kommunal","Samtliga","Eligible",124.978
"Burlöv","Kommunal","Samtliga","Ineligible",33.022
"Båstad","Samtliga","Samtliga","Total",154
"Båstad","Samtliga","Samtliga","Eligible",131.054
"Båstad","Samtliga","Samtliga","Ineligible",22.946
"Båstad","Kommunal","Samtliga","Total",154
"Båstad","Kommunal","Samtliga","Eligible",131.054
"Båstad","Kommunal","Samtliga","Ineligible",22.946
"Dals-Ed","Samtliga","Samtliga","Total",53
"Dals-Ed","Samtliga","Samtliga","Eligible",53
"Dals-Ed","Samtliga","Samtliga","Ineligible",0
"Dals-Ed","Kommunal","Samtliga","Total",53
"Dals-Ed","Kommunal","Samtliga","Eligible",53
"Dals-Ed","Kommunal","Samtliga","Ineligible",0
"Danderyd","Samtliga","Samtliga","Total",527
"Danderyd","Samtliga","Samtliga","Eligible",509.082
"Danderyd","Samtliga","Samtliga","Ineligible",17.918
"Danderyd","Kommunal","Samtliga","Total",342
"Danderyd","Kommunal","Samtliga","Eligible",325.926
"Danderyd","Kommunal","Samtliga","Ineligible",16.074
"Danderyd","Enskild","Samtliga","Total",185
"Danderyd","Enskild","Samtliga","Eligible",185
"Danderyd","Enskild","Samtliga","Ineligible",0
"Degerfors","Samtliga","Samtliga","Total",109
"Degerfors","Samtliga","Samtliga","Eligible",86.982
"Degerfors","Samtliga","Samtliga","Ineligible",22.018
"Degerfors","Kommunal","Samtliga","Total",109
"Degerfors","Kommunal","Samtliga","Eligible",86.982
"Degerfors","Kommunal","Samtliga","Ineligible",22.018
"Eda","Samtliga","Samtliga","Total",67
"Eda","Samtliga","Samtliga","Eligible",67
"Eda","Samtliga","Samtliga","Ineligible",0
"Eda","Kommunal","Samtliga","Total",67
"Eda","Kommunal","Samtliga","Eligible",67
"Eda","Kommunal","Samtliga","Ineligible",0
"Ekerö","Samtliga","Samtliga","Total",383
"Ekerö","Samtliga","Samtliga","Eligible",350.828
"Ekerö","Samtliga","Samtliga","Ineligible",32.172
"Ekerö","Kommunal","Samtliga","Total",342
"Ekerö","Kommunal","Samtliga","Eligible",310.878
"Ekerö","Kommunal","Samtliga","Ineligible",31.122
"Ekerö","Enskild","Samtliga","Total",41
"Ekerö","Enskild","Samtliga","Eligible",41
"Ekerö","Enskild","Samtliga","Ineligible",0
"Eksjö","Samtliga","Samtliga","Total",233
"Eksjö","Samtliga","Samtliga","Eligible",178.944
"Eksjö","Samtliga","Samtliga","Ineligible",54.056
"Eksjö","Kommunal","Samtliga","Total",222
"Eksjö","Kommunal","Samtliga","Eligible",174.936
"Eksjö","Kommunal","Samtliga","Ineligible",47.064
"Eksjö","Enskild","Samtliga","Total",11
"Eksjö","Enskild","Samtliga","Eligible",11
"Eksjö","Enskild","Samtliga","Ineligible",0
"Emmaboda","Samtliga","Samtliga","Total",102
"Emmaboda","Samtliga","Samtliga","Eligible",77.01
"Emmaboda","Samtliga","Samtliga","Ineligible",24.99
"Emmaboda","Kommunal","Samtliga","Total",102
"Emmaboda","Kommunal","Samtliga","Eligible",77.01
"Emmaboda","Kommunal","Samtliga","Ineligible",24.99
"Enköping","Samtliga","Samtliga","Total",522
"Enköping","Samtliga","Samtliga","Eligible",451.008
"Enköping","Samtliga","Samtliga","Ineligible",70.992
"Enköping","Kommunal","Samtliga","Total",355
"Enköping","Kommunal","Samtliga","Eligible",293.94
"Enköping","Kommunal","Samtliga","Ineligible",61.06
"Enköping","Enskild","Samtliga","Total",167
"Enköping","Enskild","Samtliga","Eligible",156.98
"Enköping","Enskild","Samtliga","Ineligible",10.02
"Eskilstuna","Samtliga","Samtliga","Total",1274
"Eskilstuna","Samtliga","Samtliga","Eligible",1016.652
"Eskilstuna","Samtliga","Samtliga","Ineligible",257.348
"Eskilstuna","Kommunal","Samtliga","Total",1034
"Eskilstuna","Kommunal","Samtliga","Eligible",794.112
"Eskilstuna","Kommunal","Samtliga","Ineligible",239.888
"Eskilstuna","Enskild","Samtliga","Total",240
"Eskilstuna","Enskild","Samtliga","Eligible",222.96
"Eskilstuna","Enskild","Samtliga","Ineligible",17.04
"Eslöv","Samtliga","Samtliga","Total",387
"Eslöv","Samtliga","Samtliga","Eligible",323.145
"Eslöv","Samtliga","Samtliga","Ineligible",63.855
"Eslöv","Kommunal","Samtliga","Total",387
"Eslöv","Kommunal","Samtliga","Eligible",323.145
"Eslöv","Kommunal","Samtliga","Ineligible",63.855
"Essunga","Samtliga","Samtliga","Total",69
"Essunga","Samtliga","Samtliga","Eligible",58.029
"Essunga","Samtliga","Samtliga","Ineligible",10.971
"Essunga","Kommunal","Samtliga","Total",69
"Essunga","Kommunal","Samtliga","Eligible",58.029
"Essunga","Kommunal","Samtliga","Ineligible",10.971
"Fagersta","Samtliga","Samtliga","Total",136
"Fagersta","Samtliga","Samtliga","Eligible",102.952
"Fagersta","Samtliga","Samtliga","Ineligible",33.048
"Fagersta","Kommunal","Samtliga","Total",104
"Fagersta","Kommunal","Samtliga","Eligible",79.04
"Fagersta","Kommunal","Samtliga","Ineligible",24.96
"Fagersta","Enskild","Samtliga","Total",32
"Fagersta","Enskild","Samtliga","Eligible",32
"Fagersta","Enskild","Samtliga","Ineligible",0
"Falkenberg","Samtliga","Samtliga","Total",508
"Falkenberg","Samtliga","Samtliga","Eligible",409.956
"Falkenberg","Samtliga","Samtliga","Ineligible",98.044
"Falkenberg","Kommunal","Samtliga","Total",417
"Falkenberg","Kommunal","Samtliga","Eligible",321.924
"Falkenberg","Kommunal","Samtliga","Ineligible",95.076
"Falkenberg","Enskild","Samtliga","Total",91
"Falkenberg","Enskild","Samtliga","Eligible",91
"Falkenberg","Enskild","Samtliga","Ineligible",0
"Falköping","Samtliga","Samtliga","Total",428
"Falköping","Samtliga","Samtliga","Eligible",338.976
"Falköping","Samtliga","Samtliga","Ineligible",89.024
"Falköping","Kommunal","Samtliga","Total",409
"Falköping","Kommunal","Samtliga","Eligible",327.2
"Falköping","Kommunal","Samtliga","Ineligible",81.8
"Falköping","Enskild","Samtliga","Total",19
"Falköping","Enskild","Samtliga","Eligible",19
"Falköping","Enskild","Samtliga","Ineligible",0
"Falun","Samtliga","Samtliga","Total",681
"Falun","Samtliga","Samtliga","Eligible",587.022
"Falun","Samtliga","Samtliga","Ineligible",93.978
"Falun","Kommunal","Samtliga","Total",501
"Falun","Kommunal","Samtliga","Eligible",418.836
"Falun","Kommunal","Samtliga","Ineligible",82.164
"Falun","Enskild","Samtliga","Total",180
"Falun","Enskild","Samtliga","Eligible",167.94
"Falun","Enskild","Samtliga","Ineligible",12.06
"Filipstad","Samtliga","Samtliga","Total",134
"Filipstad","Samtliga","Samtliga","Eligible",118.054
"Filipstad","Samtliga","Samtliga","Ineligible",15.946
"Filipstad","Kommunal","Samtliga","Total",134
"Filipstad","Kommunal","Samtliga","Eligible",118.054
"Filipstad","Kommunal","Samtliga","Ineligible",15.946
"Finspång","Samtliga","Samtliga","Total",228
"Finspång","Samtliga","Samtliga","Eligible",194.028
"Finspång","Samtliga","Samtliga","Ineligible",33.972
"Finspång","Kommunal","Samtliga","Total",228
"Finspång","Kommunal","Samtliga","Eligible",194.028
"Finspång","Kommunal","Samtliga","Ineligible",33.972
"Flen","Samtliga","Samtliga","Total",181
"Flen","Samtliga","Samtliga","Eligible",129.958
"Flen","Samtliga","Samtliga","Ineligible",51.042
"Flen","Kommunal","Samtliga","Total",116
"Flen","Kommunal","Samtliga","Eligible",80.968
"Flen","Kommunal","Samtliga","Ineligible",35.032
"Flen","Enskild","Samtliga","Total",65
"Flen","Enskild","Samtliga","Eligible",49.01
"Flen","Enskild","Samtliga","Ineligible",15.99
"Forshaga","Samtliga","Samtliga","Total",155
"Forshaga","Samtliga","Samtliga","Eligible",119.97
"Forshaga","Samtliga","Samtliga","Ineligible",35.03
"Forshaga","Kommunal","Samtliga","Total",155
