"Municipality","SchoolOrganiser","Gender","Students","value"
"Nyköping","Samtliga","Samtliga","Total",680
"Nyköping","Samtliga","Samtliga","Eligible",571.2
"Nyköping","Samtliga","Samtliga","Ineligible",108.8
"Nyköping","Kommunal","Samtliga","Total",449
"Nyköping","Kommunal","Samtliga","Eligible",356.057
"Nyköping","Kommunal","Samtliga","Ineligible",92.943
"Nyköping","Enskild","Samtliga","Total",231
"Nyköping","Enskild","Samtliga","Eligible",215.061
"Nyköping","Enskild","Samtliga","Ineligible",15.939
"Nynäshamn","Samtliga","Samtliga","Total",255
"Nynäshamn","Samtliga","Samtliga","Eligible",221.085
"Nynäshamn","Samtliga","Samtliga","Ineligible",33.915
"Nynäshamn","Kommunal","Samtliga","Total",255
"Nynäshamn","Kommunal","Samtliga","Eligible",221.085
"Nynäshamn","Kommunal","Samtliga","Ineligible",33.915
"Nässjö","Samtliga","Samtliga","Total",357
"Nässjö","Samtliga","Samtliga","Eligible",279.174
"Nässjö","Samtliga","Samtliga","Ineligible",77.826
"Nässjö","Kommunal","Samtliga","Total",357
"Nässjö","Kommunal","Samtliga","Eligible",279.174
"Nässjö","Kommunal","Samtliga","Ineligible",77.826
"Ockelbo","Samtliga","Samtliga","Total",66
"Ockelbo","Samtliga","Samtliga","Eligible",54.978
"Ockelbo","Samtliga","Samtliga","Ineligible",11.022
"Ockelbo","Kommunal","Samtliga","Total",66
"Ockelbo","Kommunal","Samtliga","Eligible",54.978
"Ockelbo","Kommunal","Samtliga","Ineligible",11.022
"Olofström","Samtliga","Samtliga","Total",141
"Olofström","Samtliga","Samtliga","Eligible",119.991
"Olofström","Samtliga","Samtliga","Ineligible",21.009
"Olofström","Kommunal","Samtliga","Total",141
"Olofström","Kommunal","Samtliga","Eligible",119.991
"Olofström","Kommunal","Samtliga","Ineligible",21.009
"Orsa","Samtliga","Samtliga","Total",70
"Orsa","Samtliga","Samtliga","Eligible",58.03
"Orsa","Samtliga","Samtliga","Ineligible",11.97
"Orsa","Kommunal","Samtliga","Total",70
"Orsa","Kommunal","Samtliga","Eligible",58.03
"Orsa","Kommunal","Samtliga","Ineligible",11.97
"Orust","Samtliga","Samtliga","Total",127
"Orust","Samtliga","Samtliga","Eligible",106.045
"Orust","Samtliga","Samtliga","Ineligible",20.955
"Orust","Kommunal","Samtliga","Total",120
"Orust","Kommunal","Samtliga","Eligible",99.96
"Orust","Kommunal","Samtliga","Ineligible",20.04
"Orust","Enskild","Samtliga","Total",0
"Orust","Enskild","Samtliga","Eligible",0
"Orust","Enskild","Samtliga","Ineligible",0
"Osby","Samtliga","Samtliga","Total",153
"Osby","Samtliga","Samtliga","Eligible",117.045
"Osby","Samtliga","Samtliga","Ineligible",35.955
"Osby","Kommunal","Samtliga","Total",153
"Osby","Kommunal","Samtliga","Eligible",117.045
"Osby","Kommunal","Samtliga","Ineligible",35.955
"Oskarshamn","Samtliga","Samtliga","Total",302
"Oskarshamn","Samtliga","Samtliga","Eligible",260.928
"Oskarshamn","Samtliga","Samtliga","Ineligible",41.072
"Oskarshamn","Kommunal","Samtliga","Total",302
"Oskarshamn","Kommunal","Samtliga","Eligible",260.928
"Oskarshamn","Kommunal","Samtliga","Ineligible",41.072
"Ovanåker","Samtliga","Samtliga","Total",99
"Ovanåker","Samtliga","Samtliga","Eligible",82.962
"Ovanåker","Samtliga","Samtliga","Ineligible",16.038
"Ovanåker","Kommunal","Samtliga","Total",99
"Ovanåker","Kommunal","Samtliga","Eligible",82.962
"Ovanåker","Kommunal","Samtliga","Ineligible",16.038
"Oxelösund","Samtliga","Samtliga","Total",109
"Oxelösund","Samtliga","Samtliga","Eligible",86.001
"Oxelösund","Samtliga","Samtliga","Ineligible",22.999
"Oxelösund","Kommunal","Samtliga","Total",109
"Oxelösund","Kommunal","Samtliga","Eligible",86.001
"Oxelösund","Kommunal","Samtliga","Ineligible",22.999
"Pajala","Samtliga","Samtliga","Total",65
"Pajala","Samtliga","Samtliga","Eligible",46.995
"Pajala","Samtliga","Samtliga","Ineligible",18.005
"Pajala","Kommunal","Samtliga","Total",57
"Pajala","Kommunal","Samtliga","Eligible",40.014
"Pajala","Kommunal","Samtliga","Ineligible",16.986
"Pajala","Enskild","Samtliga","Total",0
"Pajala","Enskild","Samtliga","Eligible",0
"Pajala","Enskild","Samtliga","Ineligible",0
"Partille","Samtliga","Samtliga","Total",487
"Partille","Samtliga","Samtliga","Eligible",410.054
"Partille","Samtliga","Samtliga","Ineligible",76.946
"Partille","Kommunal","Samtliga","Total",469
"Partille","Kommunal","Samtliga","Eligible",392.084
"Partille","Kommunal","Samtliga","Ineligible",76.916
"Partille","Enskild","Samtliga","Total",18
"Partille","Enskild","Samtliga","Eligible",18
"Partille","Enskild","Samtliga","Ineligible",0
"Perstorp","Samtliga","Samtliga","Total",79
"Perstorp","Samtliga","Samtliga","Eligible",57.038
"Perstorp","Samtliga","Samtliga","Ineligible",21.962
"Perstorp","Kommunal","Samtliga","Total",79
"Perstorp","Kommunal","Samtliga","Eligible",57.038
"Perstorp","Kommunal","Samtliga","Ineligible",21.962
"Piteå","Samtliga","Samtliga","Total",472
"Piteå","Samtliga","Samtliga","Eligible",436.128
"Piteå","Samtliga","Samtliga","Ineligible",35.872
"Piteå","Kommunal","Samtliga","Total",472
"Piteå","Kommunal","Samtliga","Eligible",436.128
"Piteå","Kommunal","Samtliga","Ineligible",35.872
"Ragunda","Samtliga","Samtliga","Total",61
"Ragunda","Samtliga","Samtliga","Eligible",45.994
"Ragunda","Samtliga","Samtliga","Ineligible",15.006
"Ragunda","Kommunal","Samtliga","Total",61
"Ragunda","Kommunal","Samtliga","Eligible",45.994
"Ragunda","Kommunal","Samtliga","Ineligible",15.006
"Robertsfors","Samtliga","Samtliga","Total",53
"Robertsfors","Samtliga","Samtliga","Eligible",53
"Robertsfors","Samtliga","Samtliga","Ineligible",0
"Robertsfors","Kommunal","Samtliga","Total",53
"Robertsfors","Kommunal","Samtliga","Eligible",53
"Robertsfors","Kommunal","Samtliga","Ineligible",0
"Ronneby","Samtliga","Samtliga","Total",291
"Ronneby","Samtliga","Samtliga","Eligible",222.033
"Ronneby","Samtliga","Samtliga","Ineligible",68.967
"Ronneby","Kommunal","Samtliga","Total",268
"Ronneby","Kommunal","Samtliga","Eligible",202.072
"Ronneby","Kommunal","Samtliga","Ineligible",65.928
"Ronneby","Enskild","Samtliga","Total",23
"Ronneby","Enskild","Samtliga","Eligible",23
"Ronneby","Enskild","Samtliga","Ineligible",0
"Rättvik","Samtliga","Samtliga","Total",115
"Rättvik","Samtliga","Samtliga","Eligible",102.005
"Rättvik","Samtliga","Samtliga","Ineligible",12.995
"Rättvik","Kommunal","Samtliga","Total",115
"Rättvik","Kommunal","Samtliga","Eligible",102.005
"Rättvik","Kommunal","Samtliga","Ineligible",12.995
"Sala","Samtliga","Samtliga","Total",253
"Sala","Samtliga","Samtliga","Eligible",209.99
"Sala","Samtliga","Samtliga","Ineligible",43.01
"Sala","Kommunal","Samtliga","Total",253
"Sala","Kommunal","Samtliga","Eligible",209.99
"Sala","Kommunal","Samtliga","Ineligible",43.01
"Salem","Samtliga","Samtliga","Total",214
"Salem","Samtliga","Samtliga","Eligible",194.954
"Salem","Samtliga","Samtliga","Ineligible",19.046
"Salem","Kommunal","Samtliga","Total",188
"Salem","Kommunal","Samtliga","Eligible",171.08
"Salem","Kommunal","Samtliga","Ineligible",16.92
"Salem","Enskild","Samtliga","Total",26
"Salem","Enskild","Samtliga","Eligible",26
"Salem","Enskild","Samtliga","Ineligible",0
"Sandviken","Samtliga","Samtliga","Total",452
"Sandviken","Samtliga","Samtliga","Eligible",333.124
"Sandviken","Samtliga","Samtliga","Ineligible",118.876
"Sandviken","Kommunal","Samtliga","Total",433
"Sandviken","Kommunal","Samtliga","Eligible",313.925
"Sandviken","Kommunal","Samtliga","Ineligible",119.075
"Sandviken","Enskild","Samtliga","Total",19
"Sandviken","Enskild","Samtliga","Eligible",19
"Sandviken","Enskild","Samtliga","Ineligible",0
"Sigtuna","Samtliga","Samtliga","Total",584
"Sigtuna","Samtliga","Samtliga","Eligible",518.008
"Sigtuna","Samtliga","Samtliga","Ineligible",65.992
"Sigtuna","Kommunal","Samtliga","Total",414
"Sigtuna","Kommunal","Samtliga","Eligible",353.142
"Sigtuna","Kommunal","Samtliga","Ineligible",60.858
"Sigtuna","Enskild","Samtliga","Total",170
"Sigtuna","Enskild","Samtliga","Eligible",170
"Sigtuna","Enskild","Samtliga","Ineligible",0
"Simrishamn","Samtliga","Samtliga","Total",205
"Simrishamn","Samtliga","Samtliga","Eligible",158.055
"Simrishamn","Samtliga","Samtliga","Ineligible",46.945
"Simrishamn","Kommunal","Samtliga","Total",155
"Simrishamn","Kommunal","Samtliga","Eligible",112.065
"Simrishamn","Kommunal","Samtliga","Ineligible",42.935
"Simrishamn","Enskild","Samtliga","Total",50
"Simrishamn","Enskild","Samtliga","Eligible",50
"Simrishamn","Enskild","Samtliga","Ineligible",0
"Sjöbo","Samtliga","Samtliga","Total",76
"Sjöbo","Samtliga","Samtliga","Eligible",58.976
"Sjöbo","Samtliga","Samtliga","Ineligible",17.024
"Sjöbo","Kommunal","Samtliga","Total",72
"Sjöbo","Kommunal","Samtliga","Eligible",56.016
"Sjöbo","Kommunal","Samtliga","Ineligible",15.984
"Sjöbo","Enskild","Samtliga","Total",0
"Sjöbo","Enskild","Samtliga","Eligible",0
"Sjöbo","Enskild","Samtliga","Ineligible",0
"Skara","Samtliga","Samtliga","Total",216
"Skara","Samtliga","Samtliga","Eligible",185.976
"Skara","Samtliga","Samtliga","Ineligible",30.024
"Skara","Kommunal","Samtliga","Total",180
"Skara","Kommunal","Samtliga","Eligible",151.02
"Skara","Kommunal","Samtliga","Ineligible",28.98
"Skara","Enskild","Samtliga","Total",36
"Skara","Enskild","Samtliga","Eligible",36
"Skara","Enskild","Samtliga","Ineligible",0
"Skellefteå","Samtliga","Samtliga","Total",783
"Skellefteå","Samtliga","Samtliga","Eligible",652.239
"Skellefteå","Samtliga","Samtliga","Ineligible",130.761
"Skellefteå","Kommunal","Samtliga","Total",760
"Skellefteå","Kommunal","Samtliga","Eligible",630.8
"Skellefteå","Kommunal","Samtliga","Ineligible",129.2
"Skellefteå","Enskild","Samtliga","Total",23
"Skellefteå","Enskild","Samtliga","Eligible",23
"Skellefteå","Enskild","Samtliga","Ineligible",0
"Skinnskatteberg","Samtliga","Samtliga","Total",51
"Skinnskatteberg","Samtliga","Samtliga","Eligible",41.004
"Skinnskatteberg","Samtliga","Samtliga","Ineligible",9.996
"Skinnskatteberg","Kommunal","Samtliga","Total",51
"Skinnskatteberg","Kommunal","Samtliga","Eligible",41.004
"Skinnskatteberg","Kommunal","Samtliga","Ineligible",9.996
"Skurup","Samtliga","Samtliga","Total",137
"Skurup","Samtliga","Samtliga","Eligible",112.066
"Skurup","Samtliga","Samtliga","Ineligible",24.934
"Skurup","Kommunal","Samtliga","Total",137
"Skurup","Kommunal","Samtliga","Eligible",112.066
"Skurup","Kommunal","Samtliga","Ineligible",24.934
"Skövde","Samtliga","Samtliga","Total",589
"Skövde","Samtliga","Samtliga","Eligible",510.074
"Skövde","Samtliga","Samtliga","Ineligible",78.926
"Skövde","Kommunal","Samtliga","Total",584
"Skövde","Kommunal","Samtliga","Eligible",505.744
"Skövde","Kommunal","Samtliga","Ineligible",78.256
"Skövde","Enskild","Samtliga","Total",0
"Skövde","Enskild","Samtliga","Eligible",0
"Skövde","Enskild","Samtliga","Ineligible",0
"Smedjebacken","Samtliga","Samtliga","Total",97
"Smedjebacken","Samtliga","Samtliga","Eligible",87.009
"Smedjebacken","Samtliga","Samtliga","Ineligible",9.991
"Smedjebacken","Kommunal","Samtliga","Total",97
"Smedjebacken","Kommunal","Samtliga","Eligible",87.009
"Smedjebacken","Kommunal","Samtliga","Ineligible",9.991
"Sollefteå","Samtliga","Samtliga","Total",214
"Sollefteå","Samtliga","Samtliga","Eligible",159.002
"Sollefteå","Samtliga","Samtliga","Ineligible",54.998
"Sollefteå","Kommunal","Samtliga","Total",214
"Sollefteå","Kommunal","Samtliga","Eligible",159.002
"Sollefteå","Kommunal","Samtliga","Ineligible",54.998
"Sollentuna","Samtliga","Samtliga","Total",1029
"Sollentuna","Samtliga","Samtliga","Eligible",941.535
"Sollentuna","Samtliga","Samtliga","Ineligible",87.465
"Sollentuna","Kommunal","Samtliga","Total",741
"Sollentuna","Kommunal","Samtliga","Eligible",680.238
"Sollentuna","Kommunal","Samtliga","Ineligible",60.762
"Sollentuna","Enskild","Samtliga","Total",288
"Sollentuna","Enskild","Samtliga","Eligible",262.08
"Sollentuna","Enskild","Samtliga","Ineligible",25.92
"Solna","Samtliga","Samtliga","Total",487
"Solna","Samtliga","Samtliga","Eligible",416.872
"Solna","Samtliga","Samtliga","Ineligible",70.128
"Solna","Kommunal","Samtliga","Total",316
"Solna","Kommunal","Samtliga","Eligible",275.868
"Solna","Kommunal","Samtliga","Ineligible",40.132
"Solna","Enskild","Samtliga","Total",171
"Solna","Enskild","Samtliga","Eligible",141.075
"Solna","Enskild","Samtliga","Ineligible",29.925
"Sorsele","Samtliga","Samtliga","Total",30
"Sorsele","Samtliga","Samtliga","Eligible",30
"Sorsele","Samtliga","Samtliga","Ineligible",0
"Sorsele","Kommunal","Samtliga","Total",30
"Sorsele","Kommunal","Samtliga","Eligible",30
"Sorsele","Kommunal","Samtliga","Ineligible",0
"Sotenäs","Samtliga","Samtliga","Total",63
"Sotenäs","Samtliga","Samtliga","Eligible",63
"Sotenäs","Samtliga","Samtliga","Ineligible",0
"Sotenäs","Kommunal","Samtliga","Total",63
"Sotenäs","Kommunal","Samtliga","Eligible",63
"Sotenäs","Kommunal","Samtliga","Ineligible",0
"Staffanstorp","Samtliga","Samtliga","Total",290
"Staffanstorp","Samtliga","Samtliga","Eligible",267.96
"Staffanstorp","Samtliga","Samtliga","Ineligible",22.04
"Staffanstorp","Kommunal","Samtliga","Total",290
"Staffanstorp","Kommunal","Samtliga","Eligible",267.96
"Staffanstorp","Kommunal","Samtliga","Ineligible",22.04
"Stenungsund","Samtliga","Samtliga","Total",348
"Stenungsund","Samtliga","Samtliga","Eligible",296.844
"Stenungsund","Samtliga","Samtliga","Ineligible",51.156
"Stenungsund","Kommunal","Samtliga","Total",329
"Stenungsund","Kommunal","Samtliga","Eligible",279.979
"Stenungsund","Kommunal","Samtliga","Ineligible",49.021
"Stenungsund","Enskild","Samtliga","Total",19
"Stenungsund","Enskild","Samtliga","Eligible",19
"Stenungsund","Enskild","Samtliga","Ineligible",0
"Stockholm","Samtliga","Samtliga","Total",9740
"Stockholm","Samtliga","Samtliga","Eligible",8678.34
"Stockholm","Samtliga","Samtliga","Ineligible",1061.66
"Stockholm","Kommunal","Samtliga","Total",5884
"Stockholm","Kommunal","Samtliga","Eligible",5142.616
"Stockholm","Kommunal","Samtliga","Ineligible",741.384
"Stockholm","Enskild","Samtliga","Total",3856
"Stockholm","Enskild","Samtliga","Eligible",3543.664
"Stockholm","Enskild","Samtliga","Ineligible",312.336
"Storfors","Samtliga","Samtliga","Total",68
"Storfors","Samtliga","Samtliga","Eligible",68
"Storfors","Samtliga","Samtliga","Ineligible",0
"Storfors","Kommunal","Samtliga","Total",41
"Storfors","Kommunal","Samtliga","Eligible",41
"Storfors","Kommunal","Samtliga","Ineligible",0
"Storfors","Enskild","Samtliga","Total",27
"Storfors","Enskild","Samtliga","Eligible",27
"Storfors","Enskild","Samtliga","Ineligible",0
"Storuman","Samtliga","Samtliga","Total",57
"Storuman","Samtliga","Samtliga","Eligible",40.014
"Storuman","Samtliga","Samtliga","Ineligible",16.986
"Storuman","Kommunal","Samtliga","Total",57
"Storuman","Kommunal","Samtliga","Eligible",40.014
"Storuman","Kommunal","Samtliga","Ineligible",16.986
"Strängnäs","Samtliga","Samtliga","Total",454
"Strängnäs","Samtliga","Samtliga","Eligible",388.17
"Strängnäs","Samtliga","Samtliga","Ineligible",65.83
"Strängnäs","Kommunal","Samtliga","Total",252
"Strängnäs","Kommunal","Samtliga","Eligible",197.064
"Strängnäs","Kommunal","Samtliga","Ineligible",54.936
"Strängnäs","Enskild","Samtliga","Total",202
"Strängnäs","Enskild","Samtliga","Eligible",191.092
"Strängnäs","Enskild","Samtliga","Ineligible",10.908
"Strömstad","Samtliga","Samtliga","Total",151
"Strömstad","Samtliga","Samtliga","Eligible",114.005
"Strömstad","Samtliga","Samtliga","Ineligible",36.995
"Strömstad","Kommunal","Samtliga","Total",151
"Strömstad","Kommunal","Samtliga","Eligible",114.005
"Strömstad","Kommunal","Samtliga","Ineligible",36.995
"Strömsund","Samtliga","Samtliga","Total",130
"Strömsund","Samtliga","Samtliga","Eligible",108.03
"Strömsund","Samtliga","Samtliga","Ineligible",21.97
"Strömsund","Kommunal","Samtliga","Total",130
"Strömsund","Kommunal","Samtliga","Eligible",108.03
"Strömsund","Kommunal","Samtliga","Ineligible",21.97
"Sundbyberg","Samtliga","Samtliga","Total",326
"Sundbyberg","Samtliga","Samtliga","Eligible",283.946
"Sundbyberg","Samtliga","Samtliga","Ineligible",42.054
"Sundbyberg","Kommunal","Samtliga","Total",184
"Sundbyberg","Kommunal","Samtliga","Eligible",154.008
"Sundbyberg","Kommunal","Samtliga","Ineligible",29.992
"Sundbyberg","Enskild","Samtliga","Total",142
"Sundbyberg","Enskild","Samtliga","Eligible",129.93
"Sundbyberg","Enskild","Samtliga","Ineligible",12.07
"Sundsvall","Samtliga","Samtliga","Total",1197
"Sundsvall","Samtliga","Samtliga","Eligible",1000.692
"Sundsvall","Samtliga","Samtliga","Ineligible",196.308
"Sundsvall","Kommunal","Samtliga","Total",845
"Sundsvall","Kommunal","Samtliga","Eligible",659.1
"Sundsvall","Kommunal","Samtliga","Ineligible",185.9
"Sundsvall","Enskild","Samtliga","Total",352
"Sundsvall","Enskild","Samtliga","Eligible",342.144
"Sundsvall","Enskild","Samtliga","Ineligible",9.856
"Sunne","Samtliga","Samtliga","Total",144
"Sunne","Samtliga","Samtliga","Eligible",115.056
"Sunne","Samtliga","Samtliga","Ineligible",28.944
"Sunne","Kommunal","Samtliga","Total",144
"Sunne","Kommunal","Samtliga","Eligible",115.056
"Sunne","Kommunal","Samtliga","Ineligible",28.944
"Surahammar","Samtliga","Samtliga","Total",112
"Surahammar","Samtliga","Samtliga","Eligible",91.952
"Surahammar","Samtliga","Samtliga","Ineligible",20.048
"Surahammar","Kommunal","Samtliga","Total",112
"Surahammar","Kommunal","Samtliga","Eligible",91.952
"Surahammar","Kommunal","Samtliga","Ineligible",20.048
"Svalöv","Samtliga","Samtliga","Total",162
"Svalöv","Samtliga","Samtliga","Eligible",137.052
"Svalöv","Samtliga","Samtliga","Ineligible",24.948
"Svalöv","Kommunal","Samtliga","Total",120
"Svalöv","Kommunal","Samtliga","Eligible",104.04
"Svalöv","Kommunal","Samtliga","Ineligible",15.96
"Svalöv","Enskild","Samtliga","Total",42
"Svalöv","Enskild","Samtliga","Eligible",42
"Svalöv","Enskild","Samtliga","Ineligible",0
"Svedala","Samtliga","Samtliga","Total",276
"Svedala","Samtliga","Samtliga","Eligible",250.884
"Svedala","Samtliga","Samtliga","Ineligible",25.116
"Svedala","Kommunal","Samtliga","Total",276
"Svedala","Kommunal","Samtliga","Eligible",250.884
"Svedala","Kommunal","Samtliga","Ineligible",25.116
"Svenljunga","Samtliga","Samtliga","Total",112
"Svenljunga","Samtliga","Samtliga","Eligible",76.944
"Svenljunga","Samtliga","Samtliga","Ineligible",35.056
"Svenljunga","Kommunal","Samtliga","Total",112
"Svenljunga","Kommunal","Samtliga","Eligible",76.944
"Svenljunga","Kommunal","Samtliga","Ineligible",35.056
"Säffle","Samtliga","Samtliga","Total",151
"Säffle","Samtliga","Samtliga","Eligible",136.051
"Säffle","Samtliga","Samtliga","Ineligible",14.949
"Säffle","Kommunal","Samtliga","Total",151
"Säffle","Kommunal","Samtliga","Eligible",136.051
"Säffle","Kommunal","Samtliga","Ineligible",14.949
"Säter","Samtliga","Samtliga","Total",89
"Säter","Samtliga","Samtliga","Eligible",76.006
"Säter","Samtliga","Samtliga","Ineligible",12.994
"Säter","Kommunal","Samtliga","Total",89
"Säter","Kommunal","Samtliga","Eligible",76.006
"Säter","Kommunal","Samtliga","Ineligible",12.994
"Sävsjö","Samtliga","Samtliga","Total",150
"Sävsjö","Samtliga","Samtliga","Eligible",120
"Sävsjö","Samtliga","Samtliga","Ineligible",30
"Sävsjö","Kommunal","Samtliga","Total",136
"Sävsjö","Kommunal","Samtliga","Eligible",105.944
"Sävsjö","Kommunal","Samtliga","Ineligible",30.056
"Sävsjö","Enskild","Samtliga","Total",14
"Sävsjö","Enskild","Samtliga","Eligible",14
"Sävsjö","Enskild","Samtliga","Ineligible",0
"Söderhamn","Samtliga","Samtliga","Total",247
"Söderhamn","Samtliga","Samtliga","Eligible",201.058
"Söderhamn","Samtliga","Samtliga","Ineligible",45.942
"Söderhamn","Kommunal","Samtliga","Total",241
"Söderhamn","Kommunal","Samtliga","Eligible",195.933
"Söderhamn","Kommunal","Samtliga","Ineligible",45.067
"Söderhamn","Enskild","Samtliga","Total",0
"Söderhamn","Enskild","Samtliga","Eligible",0
"Söderhamn","Enskild","Samtliga","Ineligible",0
"Söderköping","Samtliga","Samtliga","Total",161
"Söderköping","Samtliga","Samtliga","Eligible",145.061
"Söderköping","Samtliga","Samtliga","Ineligible",15.939
"Söderköping","Kommunal","Samtliga","Total",149
"Söderköping","Kommunal","Samtliga","Eligible",136.037
"Söderköping","Kommunal","Samtliga","Ineligible",12.963
"Söderköping","Enskild","Samtliga","Total",12
"Söderköping","Enskild","Samtliga","Eligible",12
"Söderköping","Enskild","Samtliga","Ineligible",0
"Södertälje","Samtliga","Samtliga","Total",1177
"Södertälje","Samtliga","Samtliga","Eligible",974.556
"Södertälje","Samtliga","Samtliga","Ineligible",202.444
"Södertälje","Kommunal","Samtliga","Total",925
"Södertälje","Kommunal","Samtliga","Eligible",755.725
"Södertälje","Kommunal","Samtliga","Ineligible",169.275
"Södertälje","Enskild","Samtliga","Total",252
"Södertälje","Enskild","Samtliga","Eligible",218.988
"Södertälje","Enskild","Samtliga","Ineligible",33.012
"Sölvesborg","Samtliga","Samtliga","Total",189
"Sölvesborg","Samtliga","Samtliga","Eligible",151.011
"Sölvesborg","Samtliga","Samtliga","Ineligible",37.989
"Sölvesborg","Kommunal","Samtliga","Total",189
"Sölvesborg","Kommunal","Samtliga","Eligible",151.011
"Sölvesborg","Kommunal","Samtliga","Ineligible",37.989
"Tanum","Samtliga","Samtliga","Total",120
"Tanum","Samtliga","Samtliga","Eligible",96
"Tanum","Samtliga","Samtliga","Ineligible",24
"Tanum","Kommunal","Samtliga","Total",120
"Tanum","Kommunal","Samtliga","Eligible",96
"Tanum","Kommunal","Samtliga","Ineligible",24
"Tibro","Samtliga","Samtliga","Total",112
"Tibro","Samtliga","Samtliga","Eligible",99.008
"Tibro","Samtliga","Samtliga","Ineligible",12.992
"Tibro","Kommunal","Samtliga","Total",112
"Tibro","Kommunal","Samtliga","Eligible",99.008
"Tibro","Kommunal","Samtliga","Ineligible",12.992
"Tidaholm","Samtliga","Samtliga","Total",145
"Tidaholm","Samtliga","Samtliga","Eligible",122.96
"Tidaholm","Samtliga","Samtliga","Ineligible",22.04
"Tidaholm","Kommunal","Samtliga","Total",145
"Tidaholm","Kommunal","Samtliga","Eligible",122.96
"Tidaholm","Kommunal","Samtliga","Ineligible",22.04
"Tierp","Samtliga","Samtliga","Total",196
"Tierp","Samtliga","Samtliga","Eligible",153.076
"Tierp","Samtliga","Samtliga","Ineligible",42.924
"Tierp","Kommunal","Samtliga","Total",196
"Tierp","Kommunal","Samtliga","Eligible",153.076
"Tierp","Kommunal","Samtliga","Ineligible",42.924
"Timrå","Samtliga","Samtliga","Total",205
"Timrå","Samtliga","Samtliga","Eligible",174.045
"Timrå","Samtliga","Samtliga","Ineligible",30.955
"Timrå","Kommunal","Samtliga","Total",205
"Timrå","Kommunal","Samtliga","Eligible",174.045
"Timrå","Kommunal","Samtliga","Ineligible",30.955
"Tingsryd","Samtliga","Samtliga","Total",143
"Tingsryd","Samtliga","Samtliga","Eligible",114.972
"Tingsryd","Samtliga","Samtliga","Ineligible",28.028
"Tingsryd","Kommunal","Samtliga","Total",105
"Tingsryd","Kommunal","Samtliga","Eligible",80.01
"Tingsryd","Kommunal","Samtliga","Ineligible",24.99
"Tingsryd","Enskild","Samtliga","Total",38
"Tingsryd","Enskild","Samtliga","Eligible",38
"Tingsryd","Enskild","Samtliga","Ineligible",0
"Tjörn","Samtliga","Samtliga","Total",163
"Tjörn","Samtliga","Samtliga","Eligible",140.995
"Tjörn","Samtliga","Samtliga","Ineligible",22.005
"Tjörn","Kommunal","Samtliga","Total",163
"Tjörn","Kommunal","Samtliga","Eligible",140.995
"Tjörn","Kommunal","Samtliga","Ineligible",22.005
"Tomelilla","Samtliga","Samtliga","Total",108
"Tomelilla","Samtliga","Samtliga","Eligible",76.032
"Tomelilla","Samtliga","Samtliga","Ineligible",31.968
"Tomelilla","Kommunal","Samtliga","Total",108
"Tomelilla","Kommunal","Samtliga","Eligible",76.032
"Tomelilla","Kommunal","Samtliga","Ineligible",31.968
"Torsby","Samtliga","Samtliga","Total",112
"Torsby","Samtliga","Samtliga","Eligible",92.96
"Torsby","Samtliga","Samtliga","Ineligible",19.04
"Torsby","Kommunal","Samtliga","Total",112
"Torsby","Kommunal","Samtliga","Eligible",92.96
"Torsby","Kommunal","Samtliga","Ineligible",19.04
"Torsås","Samtliga","Samtliga","Total",78
"Torsås","Samtliga","Samtliga","Eligible",58.032
"Torsås","Samtliga","Samtliga","Ineligible",19.968
"Torsås","Kommunal","Samtliga","Total",78
"Torsås","Kommunal","Samtliga","Eligible",58.032
"Torsås","Kommunal","Samtliga","Ineligible",19.968
"Tranemo","Samtliga","Samtliga","Total",129
"Tranemo","Samtliga","Samtliga","Eligible",102.039
"Tranemo","Samtliga","Samtliga","Ineligible",26.961
"Tranemo","Kommunal","Samtliga","Total",129
"Tranemo","Kommunal","Samtliga","Eligible",102.039
"Tranemo","Kommunal","Samtliga","Ineligible",26.961
"Tranås","Samtliga","Samtliga","Total",224
"Tranås","Samtliga","Samtliga","Eligible",183.904
"Tranås","Samtliga","Samtliga","Ineligible",40.096
"Tranås","Kommunal","Samtliga","Total",224
"Tranås","Kommunal","Samtliga","Eligible",183.904
"Tranås","Kommunal","Samtliga","Ineligible",40.096
"Trelleborg","Samtliga","Samtliga","Total",528
"Trelleborg","Samtliga","Samtliga","Eligible",440.88
"Trelleborg","Samtliga","Samtliga","Ineligible",87.12
"Trelleborg","Kommunal","Samtliga","Total",466
"Trelleborg","Kommunal","Samtliga","Eligible",389.11
"Trelleborg","Kommunal","Samtliga","Ineligible",76.89
"Trelleborg","Enskild","Samtliga","Total",62
"Trelleborg","Enskild","Samtliga","Eligible",52.018
"Trelleborg","Enskild","Samtliga","Ineligible",9.982
"Trollhättan","Samtliga","Samtliga","Total",729
"Trollhättan","Samtliga","Samtliga","Eligible",607.257
"Trollhättan","Samtliga","Samtliga","Ineligible",121.743
"Trollhättan","Kommunal","Samtliga","Total",614
"Trollhättan","Kommunal","Samtliga","Eligible",502.252
"Trollhättan","Kommunal","Samtliga","Ineligible",111.748
"Trollhättan","Enskild","Samtliga","Total",115
"Trollhättan","Enskild","Samtliga","Eligible",104.995
"Trollhättan","Enskild","Samtliga","Ineligible",10.005
"Trosa","Samtliga","Samtliga","Total",145
"Trosa","Samtliga","Samtliga","Eligible",128.035
"Trosa","Samtliga","Samtliga","Ineligible",16.965
"Trosa","Kommunal","Samtliga","Total",145
