"region","hushållsstorlek","X2019"
"Vaxholm","6 personer",390
"Vaxholm","7+ personer",208
"Vaxholm","uppgift saknas",9
"Norrtälje","1 person",12187
"Norrtälje","2 personer",20066
"Norrtälje","3 personer",9678
"Norrtälje","4 personer",11468
"Norrtälje","5 personer",5575
"Norrtälje","6 personer",1932
"Norrtälje","7+ personer",1610
"Norrtälje","uppgift saknas",106
"Sigtuna","1 person",6596
"Sigtuna","2 personer",10108
"Sigtuna","3 personer",8598
"Sigtuna","4 personer",11068
"Sigtuna","5 personer",6500
"Sigtuna","6 personer",2844
"Sigtuna","7+ personer",3128
"Sigtuna","uppgift saknas",122
"Nynäshamn","1 person",4799
"Nynäshamn","2 personer",8114
"Nynäshamn","3 personer",4665
"Nynäshamn","4 personer",6048
"Nynäshamn","5 personer",2865
"Nynäshamn","6 personer",1110
"Nynäshamn","7+ personer",907
"Nynäshamn","uppgift saknas",67
"Håbo","1 person",2737
"Håbo","2 personer",5494
"Håbo","3 personer",3927
"Håbo","4 personer",5720
"Håbo","5 personer",2580
"Håbo","6 personer",852
"Håbo","7+ personer",604
"Håbo","uppgift saknas",20
"Älvkarleby","1 person",1616
"Älvkarleby","2 personer",3030
"Älvkarleby","3 personer",1596
"Älvkarleby","4 personer",1856
"Älvkarleby","5 personer",805
"Älvkarleby","6 personer",270
"Älvkarleby","7+ personer",269
"Älvkarleby","uppgift saknas",15
"Knivsta","1 person",2164
"Knivsta","2 personer",4094
"Knivsta","3 personer",3063
"Knivsta","4 personer",5784
"Knivsta","5 personer",2440
"Knivsta","6 personer",654
"Knivsta","7+ personer",617
"Knivsta","uppgift saknas",19
"Heby","1 person",2513
"Heby","2 personer",4286
"Heby","3 personer",2163
"Heby","4 personer",2776
"Heby","5 personer",1390
"Heby","6 personer",486
"Heby","7+ personer",420
"Heby","uppgift saknas",13
"Tierp","1 person",3815
"Tierp","2 personer",6596
"Tierp","3 personer",3360
"Tierp","4 personer",4004
"Tierp","5 personer",1985
"Tierp","6 personer",702
"Tierp","7+ personer",648
