"region","hushållsstorlek","X2019"
"Åstorp","1 person",2104
"Åstorp","2 personer",4048
"Åstorp","3 personer",2670
"Åstorp","4 personer",3504
"Åstorp","5 personer",1945
"Åstorp","6 personer",738
"Åstorp","7+ personer",902
"Åstorp","uppgift saknas",29
"Båstad","1 person",2737
"Båstad","2 personer",5072
"Båstad","3 personer",2286
"Båstad","4 personer",2956
"Båstad","5 personer",1325
"Båstad","6 personer",366
"Båstad","7+ personer",374
"Båstad","uppgift saknas",12
"Malmö","1 person",68897
"Malmö","2 personer",86614
"Malmö","3 personer",57681
"Malmö","4 personer",66964
"Malmö","5 personer",32900
"Malmö","6 personer",15204
"Malmö","7+ personer",14713
"Malmö","uppgift saknas",1193
"Lund","1 person",26899
"Lund","2 personer",33170
"Lund","3 personer",19203
"Lund","4 personer",26224
"Lund","5 personer",12175
"Lund","6 personer",3888
"Lund","7+ personer",3197
"Lund","uppgift saknas",179
"Landskrona","1 person",8150
"Landskrona","2 personer",12078
"Landskrona","3 personer",7470
"Landskrona","4 personer",9436
"Landskrona","5 personer",4880
"Landskrona","6 personer",2076
"Landskrona","7+ personer",1878
"Landskrona","uppgift saknas",122
"Helsingborg","1 person",27937
"Helsingborg","2 personer",38732
"Helsingborg","3 personer",24462
"Helsingborg","4 personer",32112
"Helsingborg","5 personer",13710
"Helsingborg","6 personer",5484
"Helsingborg","7+ personer",4970
"Helsingborg","uppgift saknas",327
"Höganäs","1 person",4045
"Höganäs","2 personer",8190
"Höganäs","3 personer",4392
"Höganäs","4 personer",6536
"Höganäs","5 personer",2605
"Höganäs","6 personer",606
"Höganäs","7+ personer",542
"Höganäs","uppgift saknas",26
"Eslöv","1 person",5188
"Eslöv","2 personer",8816
"Eslöv","3 personer",5721
"Eslöv","4 personer",7892
"Eslöv","5 personer",3465
"Eslöv","6 personer",1344
"Eslöv","7+ personer",1307
"Eslöv","uppgift saknas",60
"Ystad","1 person",5796
"Ystad","2 personer",10052
"Ystad","3 personer",4818
"Ystad","4 personer",6304
"Ystad","5 personer",2255
"Ystad","6 personer",690
"Ystad","7+ personer",600
"Ystad","uppgift saknas",26
"Trelleborg","1 person",7298
"Trelleborg","2 personer",13054
"Trelleborg","3 personer",7725
"Trelleborg","4 personer",10384
"Trelleborg","5 personer",4105
"Trelleborg","6 personer",1458
"Trelleborg","7+ personer",1327
"Trelleborg","uppgift saknas",89
"Kristianstad","1 person",15098
"Kristianstad","2 personer",24790
"Kristianstad","3 personer",13074
"Kristianstad","4 personer",17908
"Kristianstad","5 personer",8350
"Kristianstad","6 personer",3384
"Kristianstad","7+ personer",2993
"Kristianstad","uppgift saknas",150
"Simrishamn","1 person",3921
"Simrishamn","2 personer",6934
"Simrishamn","3 personer",2757
"Simrishamn","4 personer",3004
"Simrishamn","5 personer",1505
"Simrishamn","6 personer",570
"Simrishamn","7+ personer",461
"Simrishamn","uppgift saknas",22
"Ängelholm","1 person",7385
"Ängelholm","2 personer",12628
"Ängelholm","3 personer",6756
"Ängelholm","4 personer",9608
"Ängelholm","5 personer",4000
"Ängelholm","6 personer",1104
"Ängelholm","7+ personer",969
"Ängelholm","uppgift saknas",26
"Hässleholm","1 person",9454
"Hässleholm","2 personer",15514
"Hässleholm","3 personer",7977
"Hässleholm","4 personer",10376
"Hässleholm","5 personer",4900
"Hässleholm","6 personer",2040
"Hässleholm","7+ personer",1808
"Hässleholm","uppgift saknas",76
"Hylte","1 person",1632
"Hylte","2 personer",3014
"Hylte","3 personer",1563
"Hylte","4 personer",2184
"Hylte","5 personer",1335
"Hylte","6 personer",582
"Hylte","7+ personer",489
"Hylte","uppgift saknas",16
"Halmstad","1 person",19039
"Halmstad","2 personer",29026
"Halmstad","3 personer",15921
"Halmstad","4 personer",22216
"Halmstad","5 personer",10045
"Halmstad","6 personer",3474
"Halmstad","7+ personer",2897
"Halmstad","uppgift saknas",149
"Laholm","1 person",3959
"Laholm","2 personer",8176
"Laholm","3 personer",3933
"Laholm","4 personer",5516
"Laholm","5 personer",2370
"Laholm","6 personer",978
"Laholm","7+ personer",937
"Laholm","uppgift saknas",34
"Falkenberg","1 person",7241
"Falkenberg","2 personer",13914
"Falkenberg","3 personer",6507
"Falkenberg","4 personer",9692
"Falkenberg","5 personer",4735
"Falkenberg","6 personer",1692
"Falkenberg","7+ personer",1540
"Falkenberg","uppgift saknas",46
"Varberg","1 person",10418
"Varberg","2 personer",19712
"Varberg","3 personer",9393
"Varberg","4 personer",15028
"Varberg","5 personer",6510
"Varberg","6 personer",1842
"Varberg","7+ personer",1639
"Varberg","uppgift saknas",59
"Kungsbacka","1 person",9379
"Kungsbacka","2 personer",21432
"Kungsbacka","3 personer",14406
"Kungsbacka","4 personer",25016
"Kungsbacka","5 personer",9765
"Kungsbacka","6 personer",2406
"Kungsbacka","7+ personer",1908
"Kungsbacka","uppgift saknas",83
"Härryda","1 person",4066
"Härryda","2 personer",8556
"Härryda","3 personer",6606
"Härryda","4 personer",12256
"Härryda","5 personer",4775
"Härryda","6 personer",990
"Härryda","7+ personer",690
"Härryda","uppgift saknas",38
"Partille","1 person",5048
"Partille","2 personer",9322
"Partille","3 personer",6729
"Partille","4 personer",10964
"Partille","5 personer",4820
"Partille","6 personer",1188
"Partille","7+ personer",1159
"Partille","uppgift saknas",59
"Öckerö","1 person",1361
"Öckerö","2 personer",3404
"Öckerö","3 personer",2088
"Öckerö","4 personer",3028
"Öckerö","5 personer",1835
"Öckerö","6 personer",672
"Öckerö","7+ personer",520
"Öckerö","uppgift saknas",8
"Stenungsund","1 person",3862
"Stenungsund","2 personer",6972
"Stenungsund","3 personer",4497
"Stenungsund","4 personer",7032
"Stenungsund","5 personer",2940
"Stenungsund","6 personer",768
"Stenungsund","7+ personer",684
"Stenungsund","uppgift saknas",22
"Tjörn","1 person",2351
"Tjörn","2 personer",5180
"Tjörn","3 personer",2436
"Tjörn","4 personer",3628
"Tjörn","5 personer",1520
"Tjörn","6 personer",492
"Tjörn","7+ personer",397
"Tjörn","uppgift saknas",12
"Orust","1 person",2597
"Orust","2 personer",5192
"Orust","3 personer",2430
"Orust","4 personer",3008
"Orust","5 personer",1315
"Orust","6 personer",384
"Orust","7+ personer",270
"Orust","uppgift saknas",22
"Sotenäs","1 person",1903
"Sotenäs","2 personer",3308
"Sotenäs","3 personer",1377
"Sotenäs","4 personer",1496
"Sotenäs","5 personer",660
"Sotenäs","6 personer",198
"Sotenäs","7+ personer",112
"Sotenäs","uppgift saknas",7
"Munkedal","1 person",1904
"Munkedal","2 personer",3198
"Munkedal","3 personer",1632
"Munkedal","4 personer",2212
"Munkedal","5 personer",910
"Munkedal","6 personer",372
"Munkedal","7+ personer",275
"Munkedal","uppgift saknas",10
"Tanum","1 person",2358
"Tanum","2 personer",4144
"Tanum","3 personer",1887
"Tanum","4 personer",2520
"Tanum","5 personer",1085
"Tanum","6 personer",474
"Tanum","7+ personer",367
"Tanum","uppgift saknas",6
"Dals-Ed","1 person",1039
"Dals-Ed","2 personer",1470
"Dals-Ed","3 personer",765
"Dals-Ed","4 personer",804
"Dals-Ed","5 personer",460
"Dals-Ed","6 personer",156
"Dals-Ed","7+ personer",109
"Dals-Ed","uppgift saknas",10
"Färgelanda","1 person",1206
"Färgelanda","2 personer",2214
"Färgelanda","3 personer",945
"Färgelanda","4 personer",1196
"Färgelanda","5 personer",640
"Färgelanda","6 personer",204
"Färgelanda","7+ personer",227
"Färgelanda","uppgift saknas",5
"Ale","1 person",3895
"Ale","2 personer",7744
"Ale","3 personer",5556
"Ale","4 personer",8760
"Ale","5 personer",3500
"Ale","6 personer",1116
"Ale","7+ personer",804
"Ale","uppgift saknas",27
"Lerum","1 person",4539
"Lerum","2 personer",10056
"Lerum","3 personer",7203
"Lerum","4 personer",13428
"Lerum","5 personer",5190
"Lerum","6 personer",1296
"Lerum","7+ personer",819
"Lerum","uppgift saknas",37
"Vårgårda","1 person",1709
"Vårgårda","2 personer",3322
"Vårgårda","3 personer",1959
"Vårgårda","4 personer",2664
"Vårgårda","5 personer",1425
"Vårgårda","6 personer",360
"Vårgårda","7+ personer",355
"Vårgårda","uppgift saknas",16
"Bollebygd","1 person",1114
"Bollebygd","2 personer",2648
"Bollebygd","3 personer",1686
"Bollebygd","4 personer",2496
"Bollebygd","5 personer",950
"Bollebygd","6 personer",396
"Bollebygd","7+ personer",194
"Bollebygd","uppgift saknas",11
"Grästorp","1 person",1028
"Grästorp","2 personer",1894
"Grästorp","3 personer",780
"Grästorp","4 personer",1160
"Grästorp","5 personer",565
"Grästorp","6 personer",192
"Grästorp","7+ personer",69
"Grästorp","uppgift saknas",5
"Essunga","1 person",948
"Essunga","2 personer",1748
"Essunga","3 personer",963
"Essunga","4 personer",1152
"Essunga","5 personer",490
"Essunga","6 personer",246
"Essunga","7+ personer",101
"Essunga","uppgift saknas",6
"Karlsborg","1 person",1409
"Karlsborg","2 personer",2532
"Karlsborg","3 personer",987
"Karlsborg","4 personer",1244
"Karlsborg","5 personer",525
"Karlsborg","6 personer",120
"Karlsborg","7+ personer",123
"Karlsborg","uppgift saknas",0
"Gullspång","1 person",1089
"Gullspång","2 personer",1866
"Gullspång","3 personer",762
"Gullspång","4 personer",784
"Gullspång","5 personer",430
"Gullspång","6 personer",126
"Gullspång","7+ personer",221
"Gullspång","uppgift saknas",2
"Tranemo","1 person",1834
"Tranemo","2 personer",3664
"Tranemo","3 personer",1857
"Tranemo","4 personer",2552
"Tranemo","5 personer",1270
"Tranemo","6 personer",372
"Tranemo","7+ personer",371
"Tranemo","uppgift saknas",16
"Bengtsfors","1 person",2030
"Bengtsfors","2 personer",3310
"Bengtsfors","3 personer",1347
"Bengtsfors","4 personer",1548
"Bengtsfors","5 personer",805
"Bengtsfors","6 personer",324
"Bengtsfors","7+ personer",374
"Bengtsfors","uppgift saknas",12
"Mellerud","1 person",1886
"Mellerud","2 personer",2950
"Mellerud","3 personer",1362
"Mellerud","4 personer",1548
"Mellerud","5 personer",840
"Mellerud","6 personer",336
"Mellerud","7+ personer",367
"Mellerud","uppgift saknas",21
"Lilla Edet","1 person",2161
"Lilla Edet","2 personer",4114
"Lilla Edet","3 personer",2475
"Lilla Edet","4 personer",3076
"Lilla Edet","5 personer",1330
"Lilla Edet","6 personer",504
"Lilla Edet","7+ personer",433
"Lilla Edet","uppgift saknas",16
"Mark","1 person",5476
"Mark","2 personer",10200
"Mark","3 personer",5682
"Mark","4 personer",7560
"Mark","5 personer",3490
"Mark","6 personer",1350
"Mark","7+ personer",969
"Mark","uppgift saknas",27
"Svenljunga","1 person",1739
"Svenljunga","2 personer",3438
"Svenljunga","3 personer",1719
"Svenljunga","4 personer",2076
"Svenljunga","5 personer",1045
"Svenljunga","6 personer",348
"Svenljunga","7+ personer",411
"Svenljunga","uppgift saknas",4
"Herrljunga","1 person",1583
"Herrljunga","2 personer",2944
"Herrljunga","3 personer",1518
"Herrljunga","4 personer",1812
"Herrljunga","5 personer",915
"Herrljunga","6 personer",384
"Herrljunga","7+ personer",298
"Herrljunga","uppgift saknas",10
"Vara","1 person",2746
"Vara","2 personer",4916
"Vara","3 personer",2436
"Vara","4 personer",3484
"Vara","5 personer",1520
"Vara","6 personer",474
"Vara","7+ personer",431
"Vara","uppgift saknas",17
"Götene","1 person",2065
"Götene","2 personer",4354
"Götene","3 personer",2070
"Götene","4 personer",2692
"Götene","5 personer",1375
"Götene","6 personer",372
"Götene","7+ personer",270
"Götene","uppgift saknas",9
"Tibro","1 person",2005
"Tibro","2 personer",3510
"Tibro","3 personer",1623
"Tibro","4 personer",2268
"Tibro","5 personer",1055
"Tibro","6 personer",486
"Tibro","7+ personer",285
"Tibro","uppgift saknas",8
"Töreboda","1 person",1773
"Töreboda","2 personer",3092
"Töreboda","3 personer",1359
"Töreboda","4 personer",1644
"Töreboda","5 personer",790
"Töreboda","6 personer",300
"Töreboda","7+ personer",311
"Töreboda","uppgift saknas",24
"Göteborg","1 person",118784
"Göteborg","2 personer",149792
"Göteborg","3 personer",96375
"Göteborg","4 personer",114356
"Göteborg","5 personer",51060
"Göteborg","6 personer",21534
"Göteborg","7+ personer",25982
"Göteborg","uppgift saknas",1398
"Mölndal","1 person",10788
"Mölndal","2 personer",17140
"Mölndal","3 personer",12354
"Mölndal","4 personer",18428
"Mölndal","5 personer",6830
"Mölndal","6 personer",1968
"Mölndal","7+ personer",1771
"Mölndal","uppgift saknas",85
"Kungälv","1 person",6802
"Kungälv","2 personer",12622
"Kungälv","3 personer",7524
"Kungälv","4 personer",12220
"Kungälv","5 personer",4560
"Kungälv","6 personer",1500
"Kungälv","7+ personer",1055
"Kungälv","uppgift saknas",53
"Lysekil","1 person",2807
"Lysekil","2 personer",5010
"Lysekil","3 personer",2202
"Lysekil","4 personer",2500
"Lysekil","5 personer",1295
"Lysekil","6 personer",390
"Lysekil","7+ personer",336
"Lysekil","uppgift saknas",15
"Uddevalla","1 person",10755
"Uddevalla","2 personer",15752
"Uddevalla","3 personer",8883
"Uddevalla","4 personer",12088
"Uddevalla","5 personer",5500
"Uddevalla","6 personer",1974
"Uddevalla","7+ personer",1691
"Uddevalla","uppgift saknas",60
"Strömstad","1 person",2400
"Strömstad","2 personer",3664
"Strömstad","3 personer",2148
"Strömstad","4 personer",2792
"Strömstad","5 personer",1190
"Strömstad","6 personer",432
"Strömstad","7+ personer",563
"Strömstad","uppgift saknas",29
"Vänersborg","1 person",7274
"Vänersborg","2 personer",11646
"Vänersborg","3 personer",6072
"Vänersborg","4 personer",7828
"Vänersborg","5 personer",3960
"Vänersborg","6 personer",1368
"Vänersborg","7+ personer",1397
"Vänersborg","uppgift saknas",46
"Trollhättan","1 person",10954
"Trollhättan","2 personer",16086
"Trollhättan","3 personer",9270
"Trollhättan","4 personer",12628
"Trollhättan","5 personer",5440
"Trollhättan","6 personer",2274
"Trollhättan","7+ personer",2310
"Trollhättan","uppgift saknas",96
"Alingsås","1 person",6748
"Alingsås","2 personer",11836
"Alingsås","3 personer",6414
"Alingsås","4 personer",9788
"Alingsås","5 personer",4205
"Alingsås","6 personer",1398
"Alingsås","7+ personer",983
"Alingsås","uppgift saknas",48
"Borås","1 person",20335
"Borås","2 personer",30598
"Borås","3 personer",17931
"Borås","4 personer",24616
"Borås","5 personer",10755
"Borås","6 personer",4188
"Borås","7+ personer",4596
"Borås","uppgift saknas",160
"Ulricehamn","1 person",4151
"Ulricehamn","2 personer",7442
"Ulricehamn","3 personer",3804
"Ulricehamn","4 personer",5304
"Ulricehamn","5 personer",2360
"Ulricehamn","6 personer",816
"Ulricehamn","7+ personer",768
"Ulricehamn","uppgift saknas",23
"Åmål","1 person",2559
"Åmål","2 personer",3998
"Åmål","3 personer",1713
"Åmål","4 personer",2364
"Åmål","5 personer",1070
"Åmål","6 personer",468
"Åmål","7+ personer",425
"Åmål","uppgift saknas",13
"Mariestad","1 person",4780
"Mariestad","2 personer",7984
"Mariestad","3 personer",3681
"Mariestad","4 personer",4768
"Mariestad","5 personer",2070
"Mariestad","6 personer",678
"Mariestad","7+ personer",551
"Mariestad","uppgift saknas",25
"Lidköping","1 person",7349
"Lidköping","2 personer",12098
"Lidköping","3 personer",6150
"Lidköping","4 personer",8932
"Lidköping","5 personer",3505
"Lidköping","6 personer",1128
"Lidköping","7+ personer",908
"Lidköping","uppgift saknas",19
"Skara","1 person",3561
"Skara","2 personer",5474
"Skara","3 personer",2874
"Skara","4 personer",3828
"Skara","5 personer",1760
"Skara","6 personer",678
"Skara","7+ personer",641
"Skara","uppgift saknas",21
"Skövde","1 person",11199
"Skövde","2 personer",16274
"Skövde","3 personer",8688
"Skövde","4 personer",12296
"Skövde","5 personer",4960
"Skövde","6 personer",1704
"Skövde","7+ personer",1203
"Skövde","uppgift saknas",42
"Hjo","1 person",1697
"Hjo","2 personer",2990
"Hjo","3 personer",1479
"Hjo","4 personer",1760
"Hjo","5 personer",870
"Hjo","6 personer",294
"Hjo","7+ personer",112
"Hjo","uppgift saknas",8
"Tidaholm","1 person",2393
"Tidaholm","2 personer",4020
"Tidaholm","3 personer",1758
"Tidaholm","4 personer",2748
"Tidaholm","5 personer",1175
"Tidaholm","6 personer",426
"Tidaholm","7+ personer",310
"Tidaholm","uppgift saknas",16
"Falköping","1 person",5834
"Falköping","2 personer",9466
"Falköping","3 personer",4704
"Falköping","4 personer",7036
"Falköping","5 personer",3335
"Falköping","6 personer",1434
"Falköping","7+ personer",1395
"Falköping","uppgift saknas",42
"Kil","1 person",1910
"Kil","2 personer",3816
"Kil","3 personer",2082
"Kil","4 personer",2732
"Kil","5 personer",975
"Kil","6 personer",330
"Kil","7+ personer",228
"Kil","uppgift saknas",14
"Eda","1 person",1726
"Eda","2 personer",2620
"Eda","3 personer",1341
"Eda","4 personer",1632
"Eda","5 personer",770
"Eda","6 personer",294
"Eda","7+ personer",167
"Eda","uppgift saknas",14
"Torsby","1 person",2640
"Torsby","2 personer",3978
"Torsby","3 personer",1788
"Torsby","4 personer",1920
"Torsby","5 personer",820
"Torsby","6 personer",282
"Torsby","7+ personer",173
"Torsby","uppgift saknas",15
"Storfors","1 person",761
"Storfors","2 personer",1488
"Storfors","3 personer",645
"Storfors","4 personer",608
"Storfors","5 personer",270
"Storfors","6 personer",132
"Storfors","7+ personer",104
"Storfors","uppgift saknas",6
"Hammarö","1 person",2276
"Hammarö","2 personer",4332
"Hammarö","3 personer",2820
"Hammarö","4 personer",5076
"Hammarö","5 personer",1560
"Hammarö","6 personer",318
"Hammarö","7+ personer",170
"Hammarö","uppgift saknas",16
"Munkfors","1 person",927
"Munkfors","2 personer",1240
"Munkfors","3 personer",576
"Munkfors","4 personer",540
"Munkfors","5 personer",270
"Munkfors","6 personer",84
"Munkfors","7+ personer",101
"Munkfors","uppgift saknas",2
"Forshaga","1 person",1803
"Forshaga","2 personer",3518
"Forshaga","3 personer",1983
"Forshaga","4 personer",2476
"Forshaga","5 personer",1160
"Forshaga","6 personer",354
"Forshaga","7+ personer",194
"Forshaga","uppgift saknas",11
"Grums","1 person",1814
"Grums","2 personer",3026
"Grums","3 personer",1407
"Grums","4 personer",1684
"Grums","5 personer",720
"Grums","6 personer",222
"Grums","7+ personer",166
"Grums","uppgift saknas",8
"Årjäng","1 person",2031
"Årjäng","2 personer",2964
"Årjäng","3 personer",1536
"Årjäng","4 personer",1884
"Årjäng","5 personer",1005
"Årjäng","6 personer",378
"Årjäng","7+ personer",266
"Årjäng","uppgift saknas",6
"Sunne","1 person",2648
"Sunne","2 personer",4238
"Sunne","3 personer",2322
"Sunne","4 personer",2228
"Sunne","5 personer",1155
"Sunne","6 personer",426
"Sunne","7+ personer",287
"Sunne","uppgift saknas",2
"Karlstad","1 person",21096
"Karlstad","2 personer",27980
"Karlstad","3 personer",14907
"Karlstad","4 personer",18828
"Karlstad","5 personer",7125
"Karlstad","6 personer",2256
"Karlstad","7+ personer",1597
"Karlstad","uppgift saknas",109
"Kristinehamn","1 person",5234
"Kristinehamn","2 personer",7804
"Kristinehamn","3 personer",3576
"Kristinehamn","4 personer",4248
"Kristinehamn","5 personer",2020
"Kristinehamn","6 personer",786
"Kristinehamn","7+ personer",551
"Kristinehamn","uppgift saknas",36
"Filipstad","1 person",2574
"Filipstad","2 personer",3432
"Filipstad","3 personer",1389
"Filipstad","4 personer",1512
"Filipstad","5 personer",875
"Filipstad","6 personer",348
"Filipstad","7+ personer",494
"Filipstad","uppgift saknas",20
"Hagfors","1 person",2688
"Hagfors","2 personer",4242
"Hagfors","3 personer",1680
"Hagfors","4 personer",1752
"Hagfors","5 personer",790
"Hagfors","6 personer",228
"Hagfors","7+ personer",217
"Hagfors","uppgift saknas",9
"Arvika","1 person",5540
"Arvika","2 personer",8292
"Arvika","3 personer",4065
"Arvika","4 personer",4880
"Arvika","5 personer",2130
"Arvika","6 personer",732
"Arvika","7+ personer",387
"Arvika","uppgift saknas",19
"Säffle","1 person",3130
"Säffle","2 personer",5036
"Säffle","3 personer",2253
"Säffle","4 personer",2760
"Säffle","5 personer",1205
"Säffle","6 personer",552
"Säffle","7+ personer",504
"Säffle","uppgift saknas",15
"Lekeberg","1 person",1241
"Lekeberg","2 personer",2254
"Lekeberg","3 personer",1257
"Lekeberg","4 personer",2088
"Lekeberg","5 personer",950
"Lekeberg","6 personer",252
"Lekeberg","7+ personer",188
"Lekeberg","uppgift saknas",4
"Laxå","1 person",1197
"Laxå","2 personer",2040
"Laxå","3 personer",810
"Laxå","4 personer",832
"Laxå","5 personer",415
"Laxå","6 personer",186
"Laxå","7+ personer",190
"Laxå","uppgift saknas",13
"Hallsberg","1 person",2806
"Hallsberg","2 personer",4638
"Hallsberg","3 personer",2547
"Hallsberg","4 personer",3360
"Hallsberg","5 personer",1565
"Hallsberg","6 personer",606
"Hallsberg","7+ personer",394
"Hallsberg","uppgift saknas",16
"Degerfors","1 person",2033
"Degerfors","2 personer",3248
"Degerfors","3 personer",1482
"Degerfors","4 personer",1684
"Degerfors","5 personer",775
"Degerfors","6 personer",264
"Degerfors","7+ personer",173
"Degerfors","uppgift saknas",7
"Hällefors","1 person",1696
"Hällefors","2 personer",2334
"Hällefors","3 personer",885
"Hällefors","4 personer",936
"Hällefors","5 personer",495
"Hällefors","6 personer",222
"Hällefors","7+ personer",420
"Hällefors","uppgift saknas",25
"Ljusnarsberg","1 person",1180
"Ljusnarsberg","2 personer",1646
"Ljusnarsberg","3 personer",648
"Ljusnarsberg","4 personer",708
"Ljusnarsberg","5 personer",350
"Ljusnarsberg","6 personer",144
"Ljusnarsberg","7+ personer",85
"Ljusnarsberg","uppgift saknas",10
"Örebro","1 person",31771
"Örebro","2 personer",43144
"Örebro","3 personer",23769
"Örebro","4 personer",31684
"Örebro","5 personer",14020
"Örebro","6 personer",5442
"Örebro","7+ personer",5615
"Örebro","uppgift saknas",251
"Kumla","1 person",3568
"Kumla","2 personer",5794
"Kumla","3 personer",3690
"Kumla","4 personer",5396
"Kumla","5 personer",2190
"Kumla","6 personer",624
"Kumla","7+ personer",456
"Kumla","uppgift saknas",20
"Askersund","1 person",2195
"Askersund","2 personer",4110
"Askersund","3 personer",1593
"Askersund","4 personer",2000
"Askersund","5 personer",970
"Askersund","6 personer",342
"Askersund","7+ personer",159
"Askersund","uppgift saknas",8
"Karlskoga","1 person",6323
"Karlskoga","2 personer",9646
"Karlskoga","3 personer",4863
"Karlskoga","4 personer",5564
"Karlskoga","5 personer",2345
"Karlskoga","6 personer",852
"Karlskoga","7+ personer",739
"Karlskoga","uppgift saknas",49
"Nora","1 person",1994
"Nora","2 personer",3406
"Nora","3 personer",1608
"Nora","4 personer",2144
"Nora","5 personer",945
"Nora","6 personer",408
"Nora","7+ personer",213
"Nora","uppgift saknas",8
"Lindesberg","1 person",4431
"Lindesberg","2 personer",7512
"Lindesberg","3 personer",3627
"Lindesberg","4 personer",4468
"Lindesberg","5 personer",1825
"Lindesberg","6 personer",840
"Lindesberg","7+ personer",853
"Lindesberg","uppgift saknas",32
"Skinnskatteberg","1 person",960
"Skinnskatteberg","2 personer",1490
"Skinnskatteberg","3 personer",639
"Skinnskatteberg","4 personer",684
"Skinnskatteberg","5 personer",365
"Skinnskatteberg","6 personer",126
"Skinnskatteberg","7+ personer",121
"Skinnskatteberg","uppgift saknas",8
"Surahammar","1 person",1736
"Surahammar","2 personer",3286
"Surahammar","3 personer",1512
"Surahammar","4 personer",2052
"Surahammar","5 personer",960
"Surahammar","6 personer",324
"Surahammar","7+ personer",219
"Surahammar","uppgift saknas",17
"Kungsör","1 person",1439
"Kungsör","2 personer",2798
"Kungsör","3 personer",1332
"Kungsör","4 personer",1628
"Kungsör","5 personer",910
"Kungsör","6 personer",336
"Kungsör","7+ personer",224
"Kungsör","uppgift saknas",8
"Hallstahammar","1 person",3082
"Hallstahammar","2 personer",4956
"Hallstahammar","3 personer",2559
"Hallstahammar","4 personer",3016
"Hallstahammar","5 personer",1470
"Hallstahammar","6 personer",558
"Hallstahammar","7+ personer",683
"Hallstahammar","uppgift saknas",22
"Norberg","1 person",1198
"Norberg","2 personer",1958
"Norberg","3 personer",882
"Norberg","4 personer",824
"Norberg","5 personer",490
"Norberg","6 personer",180
"Norberg","7+ personer",152
"Norberg","uppgift saknas",6
"Västerås","1 person",28444
"Västerås","2 personer",42764
"Västerås","3 personer",25020
"Västerås","4 personer",32584
"Västerås","5 personer",14420
"Västerås","6 personer",5082
"Västerås","7+ personer",5434
"Västerås","uppgift saknas",301
"Sala","1 person",4355
"Sala","2 personer",7022
"Sala","3 personer",3396
"Sala","4 personer",4476
"Sala","5 personer",2125
"Sala","6 personer",780
"Sala","7+ personer",713
"Sala","uppgift saknas",27
"Fagersta","1 person",2913
"Fagersta","2 personer",3988
"Fagersta","3 personer",1899
"Fagersta","4 personer",2324
"Fagersta","5 personer",1245
"Fagersta","6 personer",510
"Fagersta","7+ personer",487
"Fagersta","uppgift saknas",25
"Köping","1 person",5241
"Köping","2 personer",8040
"Köping","3 personer",3705
"Köping","4 personer",4780
"Köping","5 personer",2395
"Köping","6 personer",1110
"Köping","7+ personer",905
"Köping","uppgift saknas",38
"Arboga","1 person",2805
"Arboga","2 personer",4610
"Arboga","3 personer",2082
"Arboga","4 personer",2692
"Arboga","5 personer",1150
"Arboga","6 personer",402
"Arboga","7+ personer",314
"Arboga","uppgift saknas",32
"Vansbro","1 person",1508
"Vansbro","2 personer",2098
"Vansbro","3 personer",1074
"Vansbro","4 personer",1252
"Vansbro","5 personer",610
"Vansbro","6 personer",156
"Vansbro","7+ personer",103
"Vansbro","uppgift saknas",4
"Malung-Sälen","1 person",2106
"Malung-Sälen","2 personer",3244
"Malung-Sälen","3 personer",1698
"Malung-Sälen","4 personer",1968
"Malung-Sälen","5 personer",690
"Malung-Sälen","6 personer",204
"Malung-Sälen","7+ personer",221
"Malung-Sälen","uppgift saknas",7
"Gagnef","1 person",1484
"Gagnef","2 personer",3304
"Gagnef","3 personer",1665
"Gagnef","4 personer",2052
"Gagnef","5 personer",995
"Gagnef","6 personer",390
"Gagnef","7+ personer",412
"Gagnef","uppgift saknas",2
"Leksand","1 person",2938
"Leksand","2 personer",5012
"Leksand","3 personer",2427
"Leksand","4 personer",3236
"Leksand","5 personer",1360
"Leksand","6 personer",486
"Leksand","7+ personer",334
"Leksand","uppgift saknas",14
"Rättvik","1 person",2370
"Rättvik","2 personer",3778
"Rättvik","3 personer",1674
"Rättvik","4 personer",1804
"Rättvik","5 personer",850
"Rättvik","6 personer",252
"Rättvik","7+ personer",218
"Rättvik","uppgift saknas",4
"Orsa","1 person",1433
"Orsa","2 personer",2284
"Orsa","3 personer",1272
"Orsa","4 personer",1044
"Orsa","5 personer",495
"Orsa","6 personer",204
"Orsa","7+ personer",173
"Orsa","uppgift saknas",6
"Älvdalen","1 person",1461
"Älvdalen","2 personer",2124
"Älvdalen","3 personer",1110
"Älvdalen","4 personer",1276
"Älvdalen","5 personer",630
"Älvdalen","6 personer",228
"Älvdalen","7+ personer",196
"Älvdalen","uppgift saknas",6
"Smedjebacken","1 person",2076
"Smedjebacken","2 personer",3970
"Smedjebacken","3 personer",1518
"Smedjebacken","4 personer",1896
"Smedjebacken","5 personer",890
"Smedjebacken","6 personer",258
"Smedjebacken","7+ personer",273
"Smedjebacken","uppgift saknas",13
"Mora","1 person",3961
"Mora","2 personer",6596
"Mora","3 personer",3456
"Mora","4 personer",3900
"Mora","5 personer",1705
"Mora","6 personer",558
"Mora","7+ personer",280
"Mora","uppgift saknas",14
"Falun","1 person",11038
"Falun","2 personer",17652
"Falun","3 personer",9201
"Falun","4 personer",12820
"Falun","5 personer",5845
"Falun","6 personer",1530
"Falun","7+ personer",1259
"Falun","uppgift saknas",61
"Borlänge","1 person",10118
"Borlänge","2 personer",14796
"Borlänge","3 personer",8055
