"Kommun","Huvudman","Kön","Behörighet","Antal"
"Borlänge","Samtliga","Samtliga","Gymnasiebehöriga",194
"Borlänge","Samtliga","Samtliga","Gymnasieobehöriga",487
"Borlänge","Kommunal","Samtliga","Gymnasiebehöriga",171
"Borlänge","Kommunal","Samtliga","Gymnasieobehöriga",408
"Borlänge","Enskild","Samtliga","Gymnasiebehöriga",23
"Borlänge","Enskild","Samtliga","Gymnasieobehöriga",79
"Borås","Samtliga","Samtliga","Gymnasiebehöriga",218
"Borås","Samtliga","Samtliga","Gymnasieobehöriga",1041
"Borås","Kommunal","Samtliga","Gymnasiebehöriga",210
"Borås","Kommunal","Samtliga","Gymnasieobehöriga",836
"Borås","Enskild","Samtliga","Gymnasiebehöriga",0
"Borås","Enskild","Samtliga","Gymnasieobehöriga",213
"Botkyrka","Samtliga","Samtliga","Gymnasiebehöriga",164
"Botkyrka","Samtliga","Samtliga","Gymnasieobehöriga",828
"Botkyrka","Kommunal","Samtliga","Gymnasiebehöriga",140
"Botkyrka","Kommunal","Samtliga","Gymnasieobehöriga",702
"Botkyrka","Enskild","Samtliga","Gymnasiebehöriga",24
"Botkyrka","Enskild","Samtliga","Gymnasieobehöriga",126
"Boxholm","Samtliga","Samtliga","Gymnasiebehöriga",0
"Boxholm","Samtliga","Samtliga","Gymnasieobehöriga",46
"Boxholm","Kommunal","Samtliga","Gymnasiebehöriga",0
"Boxholm","Kommunal","Samtliga","Gymnasieobehöriga",46
"Bromölla","Samtliga","Samtliga","Gymnasiebehöriga",30
"Bromölla","Samtliga","Samtliga","Gymnasieobehöriga",94
"Bromölla","Kommunal","Samtliga","Gymnasiebehöriga",30
"Bromölla","Kommunal","Samtliga","Gymnasieobehöriga",94
"Bräcke","Samtliga","Samtliga","Gymnasiebehöriga",18
"Bräcke","Samtliga","Samtliga","Gymnasieobehöriga",51
"Bräcke","Kommunal","Samtliga","Gymnasiebehöriga",18
"Bräcke","Kommunal","Samtliga","Gymnasieobehöriga",51
"Burlöv","Samtliga","Samtliga","Gymnasiebehöriga",33
"Burlöv","Samtliga","Samtliga","Gymnasieobehöriga",125
"Burlöv","Kommunal","Samtliga","Gymnasiebehöriga",33
"Burlöv","Kommunal","Samtliga","Gymnasieobehöriga",125
"Båstad","Samtliga","Samtliga","Gymnasiebehöriga",23
"Båstad","Samtliga","Samtliga","Gymnasieobehöriga",131
"Båstad","Kommunal","Samtliga","Gymnasiebehöriga",23
"Båstad","Kommunal","Samtliga","Gymnasieobehöriga",131
"Dals-Ed","Samtliga","Samtliga","Gymnasiebehöriga",0
"Dals-Ed","Samtliga","Samtliga","Gymnasieobehöriga",53
"Dals-Ed","Kommunal","Samtliga","Gymnasiebehöriga",0
"Dals-Ed","Kommunal","Samtliga","Gymnasieobehöriga",53
"Danderyd","Samtliga","Samtliga","Gymnasiebehöriga",18
"Danderyd","Samtliga","Samtliga","Gymnasieobehöriga",509
"Danderyd","Kommunal","Samtliga","Gymnasiebehöriga",16
"Danderyd","Kommunal","Samtliga","Gymnasieobehöriga",326
"Danderyd","Enskild","Samtliga","Gymnasiebehöriga",0
"Danderyd","Enskild","Samtliga","Gymnasieobehöriga",185
"Degerfors","Samtliga","Samtliga","Gymnasiebehöriga",22
"Degerfors","Samtliga","Samtliga","Gymnasieobehöriga",87
"Degerfors","Kommunal","Samtliga","Gymnasiebehöriga",22
"Degerfors","Kommunal","Samtliga","Gymnasieobehöriga",87
"Eda","Samtliga","Samtliga","Gymnasiebehöriga",0
"Eda","Samtliga","Samtliga","Gymnasieobehöriga",67
"Eda","Kommunal","Samtliga","Gymnasiebehöriga",0
"Eda","Kommunal","Samtliga","Gymnasieobehöriga",67
"Ekerö","Samtliga","Samtliga","Gymnasiebehöriga",32
"Ekerö","Samtliga","Samtliga","Gymnasieobehöriga",351
"Ekerö","Kommunal","Samtliga","Gymnasiebehöriga",31
"Ekerö","Kommunal","Samtliga","Gymnasieobehöriga",311
"Ekerö","Enskild","Samtliga","Gymnasiebehöriga",0
"Ekerö","Enskild","Samtliga","Gymnasieobehöriga",41
"Eksjö","Samtliga","Samtliga","Gymnasiebehöriga",54
"Eksjö","Samtliga","Samtliga","Gymnasieobehöriga",179
"Eksjö","Kommunal","Samtliga","Gymnasiebehöriga",47
"Eksjö","Kommunal","Samtliga","Gymnasieobehöriga",175
"Eksjö","Enskild","Samtliga","Gymnasiebehöriga",0
"Eksjö","Enskild","Samtliga","Gymnasieobehöriga",11
"Emmaboda","Samtliga","Samtliga","Gymnasiebehöriga",25
"Emmaboda","Samtliga","Samtliga","Gymnasieobehöriga",77
"Emmaboda","Kommunal","Samtliga","Gymnasiebehöriga",25
"Emmaboda","Kommunal","Samtliga","Gymnasieobehöriga",77
"Enköping","Samtliga","Samtliga","Gymnasiebehöriga",71
"Enköping","Samtliga","Samtliga","Gymnasieobehöriga",451
"Enköping","Kommunal","Samtliga","Gymnasiebehöriga",61
"Enköping","Kommunal","Samtliga","Gymnasieobehöriga",294
