"Kommun","Huvudman","Kön","Behörighet","Antal"
"Sjöbo","Kommunal","Samtliga","Gymnasiebehöriga",16
"Sjöbo","Kommunal","Samtliga","Gymnasieobehöriga",56
"Sjöbo","Enskild","Samtliga","Gymnasiebehöriga",0
"Sjöbo","Enskild","Samtliga","Gymnasieobehöriga",0
"Skara","Samtliga","Samtliga","Gymnasiebehöriga",30
"Skara","Samtliga","Samtliga","Gymnasieobehöriga",186
"Skara","Kommunal","Samtliga","Gymnasiebehöriga",29
"Skara","Kommunal","Samtliga","Gymnasieobehöriga",151
"Skara","Enskild","Samtliga","Gymnasiebehöriga",0
"Skara","Enskild","Samtliga","Gymnasieobehöriga",36
"Skellefteå","Samtliga","Samtliga","Gymnasiebehöriga",131
"Skellefteå","Samtliga","Samtliga","Gymnasieobehöriga",652
"Skellefteå","Kommunal","Samtliga","Gymnasiebehöriga",129
"Skellefteå","Kommunal","Samtliga","Gymnasieobehöriga",631
"Skellefteå","Enskild","Samtliga","Gymnasiebehöriga",0
"Skellefteå","Enskild","Samtliga","Gymnasieobehöriga",23
"Skinnskatteberg","Samtliga","Samtliga","Gymnasiebehöriga",10
"Skinnskatteberg","Samtliga","Samtliga","Gymnasieobehöriga",41
"Skinnskatteberg","Kommunal","Samtliga","Gymnasiebehöriga",10
"Skinnskatteberg","Kommunal","Samtliga","Gymnasieobehöriga",41
"Skurup","Samtliga","Samtliga","Gymnasiebehöriga",25
"Skurup","Samtliga","Samtliga","Gymnasieobehöriga",112
"Skurup","Kommunal","Samtliga","Gymnasiebehöriga",25
"Skurup","Kommunal","Samtliga","Gymnasieobehöriga",112
"Skövde","Samtliga","Samtliga","Gymnasiebehöriga",79
"Skövde","Samtliga","Samtliga","Gymnasieobehöriga",510
"Skövde","Kommunal","Samtliga","Gymnasiebehöriga",78
"Skövde","Kommunal","Samtliga","Gymnasieobehöriga",506
"Skövde","Enskild","Samtliga","Gymnasiebehöriga",0
"Skövde","Enskild","Samtliga","Gymnasieobehöriga",0
"Smedjebacken","Samtliga","Samtliga","Gymnasiebehöriga",10
"Smedjebacken","Samtliga","Samtliga","Gymnasieobehöriga",87
"Smedjebacken","Kommunal","Samtliga","Gymnasiebehöriga",10
"Smedjebacken","Kommunal","Samtliga","Gymnasieobehöriga",87
"Sollefteå","Samtliga","Samtliga","Gymnasiebehöriga",55
"Sollefteå","Samtliga","Samtliga","Gymnasieobehöriga",159
"Sollefteå","Kommunal","Samtliga","Gymnasiebehöriga",55
"Sollefteå","Kommunal","Samtliga","Gymnasieobehöriga",159
"Sollentuna","Samtliga","Samtliga","Gymnasiebehöriga",87
"Sollentuna","Samtliga","Samtliga","Gymnasieobehöriga",942
"Sollentuna","Kommunal","Samtliga","Gymnasiebehöriga",61
"Sollentuna","Kommunal","Samtliga","Gymnasieobehöriga",680
"Sollentuna","Enskild","Samtliga","Gymnasiebehöriga",26
"Sollentuna","Enskild","Samtliga","Gymnasieobehöriga",262
"Solna","Samtliga","Samtliga","Gymnasiebehöriga",70
"Solna","Samtliga","Samtliga","Gymnasieobehöriga",417
"Solna","Kommunal","Samtliga","Gymnasiebehöriga",40
"Solna","Kommunal","Samtliga","Gymnasieobehöriga",276
"Solna","Enskild","Samtliga","Gymnasiebehöriga",30
"Solna","Enskild","Samtliga","Gymnasieobehöriga",141
"Sorsele","Samtliga","Samtliga","Gymnasiebehöriga",0
"Sorsele","Samtliga","Samtliga","Gymnasieobehöriga",30
"Sorsele","Kommunal","Samtliga","Gymnasiebehöriga",0
"Sorsele","Kommunal","Samtliga","Gymnasieobehöriga",30
"Sotenäs","Samtliga","Samtliga","Gymnasiebehöriga",0
"Sotenäs","Samtliga","Samtliga","Gymnasieobehöriga",63
"Sotenäs","Kommunal","Samtliga","Gymnasiebehöriga",0
"Sotenäs","Kommunal","Samtliga","Gymnasieobehöriga",63
"Staffanstorp","Samtliga","Samtliga","Gymnasiebehöriga",22
"Staffanstorp","Samtliga","Samtliga","Gymnasieobehöriga",268
"Staffanstorp","Kommunal","Samtliga","Gymnasiebehöriga",22
"Staffanstorp","Kommunal","Samtliga","Gymnasieobehöriga",268
"Stenungsund","Samtliga","Samtliga","Gymnasiebehöriga",51
"Stenungsund","Samtliga","Samtliga","Gymnasieobehöriga",297
"Stenungsund","Kommunal","Samtliga","Gymnasiebehöriga",49
"Stenungsund","Kommunal","Samtliga","Gymnasieobehöriga",280
"Stenungsund","Enskild","Samtliga","Gymnasiebehöriga",0
"Stenungsund","Enskild","Samtliga","Gymnasieobehöriga",19
"Stockholm","Samtliga","Samtliga","Gymnasiebehöriga",1062
"Stockholm","Samtliga","Samtliga","Gymnasieobehöriga",8678
"Stockholm","Kommunal","Samtliga","Gymnasiebehöriga",741
"Stockholm","Kommunal","Samtliga","Gymnasieobehöriga",5143
"Stockholm","Enskild","Samtliga","Gymnasiebehöriga",312
"Stockholm","Enskild","Samtliga","Gymnasieobehöriga",3544
"Storfors","Samtliga","Samtliga","Gymnasiebehöriga",0
"Storfors","Samtliga","Samtliga","Gymnasieobehöriga",68
"Storfors","Kommunal","Samtliga","Gymnasiebehöriga",0
"Storfors","Kommunal","Samtliga","Gymnasieobehöriga",41
"Storfors","Enskild","Samtliga","Gymnasiebehöriga",NA
"Storfors","Enskild","Samtliga","Gymnasieobehöriga",NA
"Storuman","Samtliga","Samtliga","Gymnasiebehöriga",17
"Storuman","Samtliga","Samtliga","Gymnasieobehöriga",40
"Storuman","Kommunal","Samtliga","Gymnasiebehöriga",17
"Storuman","Kommunal","Samtliga","Gymnasieobehöriga",40
"Strängnäs","Samtliga","Samtliga","Gymnasiebehöriga",66
"Strängnäs","Samtliga","Samtliga","Gymnasieobehöriga",388
"Strängnäs","Kommunal","Samtliga","Gymnasiebehöriga",55
"Strängnäs","Kommunal","Samtliga","Gymnasieobehöriga",197
"Strängnäs","Enskild","Samtliga","Gymnasiebehöriga",11
"Strängnäs","Enskild","Samtliga","Gymnasieobehöriga",191
"Strömstad","Samtliga","Samtliga","Gymnasiebehöriga",37
"Strömstad","Samtliga","Samtliga","Gymnasieobehöriga",114
"Strömstad","Kommunal","Samtliga","Gymnasiebehöriga",37
"Strömstad","Kommunal","Samtliga","Gymnasieobehöriga",114
"Strömsund","Samtliga","Samtliga","Gymnasiebehöriga",22
"Strömsund","Samtliga","Samtliga","Gymnasieobehöriga",108
"Strömsund","Kommunal","Samtliga","Gymnasiebehöriga",22
"Strömsund","Kommunal","Samtliga","Gymnasieobehöriga",108
"Sundbyberg","Samtliga","Samtliga","Gymnasiebehöriga",42
"Sundbyberg","Samtliga","Samtliga","Gymnasieobehöriga",284
"Sundbyberg","Kommunal","Samtliga","Gymnasiebehöriga",30
"Sundbyberg","Kommunal","Samtliga","Gymnasieobehöriga",154
"Sundbyberg","Enskild","Samtliga","Gymnasiebehöriga",12
"Sundbyberg","Enskild","Samtliga","Gymnasieobehöriga",130
"Sundsvall","Samtliga","Samtliga","Gymnasiebehöriga",196
"Sundsvall","Samtliga","Samtliga","Gymnasieobehöriga",1001
"Sundsvall","Kommunal","Samtliga","Gymnasiebehöriga",186
"Sundsvall","Kommunal","Samtliga","Gymnasieobehöriga",659
"Sundsvall","Enskild","Samtliga","Gymnasiebehöriga",10
"Sundsvall","Enskild","Samtliga","Gymnasieobehöriga",342
"Sunne","Samtliga","Samtliga","Gymnasiebehöriga",29
"Sunne","Samtliga","Samtliga","Gymnasieobehöriga",115
"Sunne","Kommunal","Samtliga","Gymnasiebehöriga",29
"Sunne","Kommunal","Samtliga","Gymnasieobehöriga",115
"Surahammar","Samtliga","Samtliga","Gymnasiebehöriga",20
"Surahammar","Samtliga","Samtliga","Gymnasieobehöriga",92
"Surahammar","Kommunal","Samtliga","Gymnasiebehöriga",20
"Surahammar","Kommunal","Samtliga","Gymnasieobehöriga",92
"Svalöv","Samtliga","Samtliga","Gymnasiebehöriga",25
"Svalöv","Samtliga","Samtliga","Gymnasieobehöriga",137
"Svalöv","Kommunal","Samtliga","Gymnasiebehöriga",16
"Svalöv","Kommunal","Samtliga","Gymnasieobehöriga",104
"Svalöv","Enskild","Samtliga","Gymnasiebehöriga",0
"Svalöv","Enskild","Samtliga","Gymnasieobehöriga",42
"Svedala","Samtliga","Samtliga","Gymnasiebehöriga",25
"Svedala","Samtliga","Samtliga","Gymnasieobehöriga",251
"Svedala","Kommunal","Samtliga","Gymnasiebehöriga",25
"Svedala","Kommunal","Samtliga","Gymnasieobehöriga",251
"Svenljunga","Samtliga","Samtliga","Gymnasiebehöriga",35
"Svenljunga","Samtliga","Samtliga","Gymnasieobehöriga",77
"Svenljunga","Kommunal","Samtliga","Gymnasiebehöriga",35
"Svenljunga","Kommunal","Samtliga","Gymnasieobehöriga",77
"Säffle","Samtliga","Samtliga","Gymnasiebehöriga",15
"Säffle","Samtliga","Samtliga","Gymnasieobehöriga",136
"Säffle","Kommunal","Samtliga","Gymnasiebehöriga",15
"Säffle","Kommunal","Samtliga","Gymnasieobehöriga",136
"Säter","Samtliga","Samtliga","Gymnasiebehöriga",13
"Säter","Samtliga","Samtliga","Gymnasieobehöriga",76
"Säter","Kommunal","Samtliga","Gymnasiebehöriga",13
"Säter","Kommunal","Samtliga","Gymnasieobehöriga",76
"Sävsjö","Samtliga","Samtliga","Gymnasiebehöriga",30
"Sävsjö","Samtliga","Samtliga","Gymnasieobehöriga",120
"Sävsjö","Kommunal","Samtliga","Gymnasiebehöriga",30
"Sävsjö","Kommunal","Samtliga","Gymnasieobehöriga",106
"Sävsjö","Enskild","Samtliga","Gymnasiebehöriga",NA
"Sävsjö","Enskild","Samtliga","Gymnasieobehöriga",NA
"Söderhamn","Samtliga","Samtliga","Gymnasiebehöriga",46
"Söderhamn","Samtliga","Samtliga","Gymnasieobehöriga",201
"Söderhamn","Kommunal","Samtliga","Gymnasiebehöriga",45
"Söderhamn","Kommunal","Samtliga","Gymnasieobehöriga",196
"Söderhamn","Enskild","Samtliga","Gymnasiebehöriga",0
"Söderhamn","Enskild","Samtliga","Gymnasieobehöriga",0
"Söderköping","Samtliga","Samtliga","Gymnasiebehöriga",16
"Söderköping","Samtliga","Samtliga","Gymnasieobehöriga",145
"Söderköping","Kommunal","Samtliga","Gymnasiebehöriga",13
"Söderköping","Kommunal","Samtliga","Gymnasieobehöriga",136
"Söderköping","Enskild","Samtliga","Gymnasiebehöriga",0
"Söderköping","Enskild","Samtliga","Gymnasieobehöriga",12
"Södertälje","Samtliga","Samtliga","Gymnasiebehöriga",202
"Södertälje","Samtliga","Samtliga","Gymnasieobehöriga",975
"Södertälje","Kommunal","Samtliga","Gymnasiebehöriga",169
"Södertälje","Kommunal","Samtliga","Gymnasieobehöriga",756
"Södertälje","Enskild","Samtliga","Gymnasiebehöriga",33
"Södertälje","Enskild","Samtliga","Gymnasieobehöriga",219
"Sölvesborg","Samtliga","Samtliga","Gymnasiebehöriga",38
"Sölvesborg","Samtliga","Samtliga","Gymnasieobehöriga",151
"Sölvesborg","Kommunal","Samtliga","Gymnasiebehöriga",38
"Sölvesborg","Kommunal","Samtliga","Gymnasieobehöriga",151
"Tanum","Samtliga","Samtliga","Gymnasiebehöriga",24
"Tanum","Samtliga","Samtliga","Gymnasieobehöriga",96
"Tanum","Kommunal","Samtliga","Gymnasiebehöriga",24
"Tanum","Kommunal","Samtliga","Gymnasieobehöriga",96
"Tibro","Samtliga","Samtliga","Gymnasiebehöriga",13
"Tibro","Samtliga","Samtliga","Gymnasieobehöriga",99
"Tibro","Kommunal","Samtliga","Gymnasiebehöriga",13
"Tibro","Kommunal","Samtliga","Gymnasieobehöriga",99
"Tidaholm","Samtliga","Samtliga","Gymnasiebehöriga",22
"Tidaholm","Samtliga","Samtliga","Gymnasieobehöriga",123
"Tidaholm","Kommunal","Samtliga","Gymnasiebehöriga",22
"Tidaholm","Kommunal","Samtliga","Gymnasieobehöriga",123
"Tierp","Samtliga","Samtliga","Gymnasiebehöriga",43
"Tierp","Samtliga","Samtliga","Gymnasieobehöriga",153
"Tierp","Kommunal","Samtliga","Gymnasiebehöriga",43
"Tierp","Kommunal","Samtliga","Gymnasieobehöriga",153
"Timrå","Samtliga","Samtliga","Gymnasiebehöriga",31
"Timrå","Samtliga","Samtliga","Gymnasieobehöriga",174
"Timrå","Kommunal","Samtliga","Gymnasiebehöriga",31
"Timrå","Kommunal","Samtliga","Gymnasieobehöriga",174
"Tingsryd","Samtliga","Samtliga","Gymnasiebehöriga",28
"Tingsryd","Samtliga","Samtliga","Gymnasieobehöriga",115
"Tingsryd","Kommunal","Samtliga","Gymnasiebehöriga",25
"Tingsryd","Kommunal","Samtliga","Gymnasieobehöriga",80
"Tingsryd","Enskild","Samtliga","Gymnasiebehöriga",0
"Tingsryd","Enskild","Samtliga","Gymnasieobehöriga",38
"Tjörn","Samtliga","Samtliga","Gymnasiebehöriga",22
"Tjörn","Samtliga","Samtliga","Gymnasieobehöriga",141
"Tjörn","Kommunal","Samtliga","Gymnasiebehöriga",22
"Tjörn","Kommunal","Samtliga","Gymnasieobehöriga",141
"Tomelilla","Samtliga","Samtliga","Gymnasiebehöriga",32
"Tomelilla","Samtliga","Samtliga","Gymnasieobehöriga",76
"Tomelilla","Kommunal","Samtliga","Gymnasiebehöriga",32
"Tomelilla","Kommunal","Samtliga","Gymnasieobehöriga",76
"Torsby","Samtliga","Samtliga","Gymnasiebehöriga",19
"Torsby","Samtliga","Samtliga","Gymnasieobehöriga",93
"Torsby","Kommunal","Samtliga","Gymnasiebehöriga",19
"Torsby","Kommunal","Samtliga","Gymnasieobehöriga",93
"Torsås","Samtliga","Samtliga","Gymnasiebehöriga",20
"Torsås","Samtliga","Samtliga","Gymnasieobehöriga",58
"Torsås","Kommunal","Samtliga","Gymnasiebehöriga",20
"Torsås","Kommunal","Samtliga","Gymnasieobehöriga",58
"Tranemo","Samtliga","Samtliga","Gymnasiebehöriga",27
"Tranemo","Samtliga","Samtliga","Gymnasieobehöriga",102
"Tranemo","Kommunal","Samtliga","Gymnasiebehöriga",27
"Tranemo","Kommunal","Samtliga","Gymnasieobehöriga",102
"Tranås","Samtliga","Samtliga","Gymnasiebehöriga",40
"Tranås","Samtliga","Samtliga","Gymnasieobehöriga",184
"Tranås","Kommunal","Samtliga","Gymnasiebehöriga",40
"Tranås","Kommunal","Samtliga","Gymnasieobehöriga",184
"Trelleborg","Samtliga","Samtliga","Gymnasiebehöriga",87
"Trelleborg","Samtliga","Samtliga","Gymnasieobehöriga",441
"Trelleborg","Kommunal","Samtliga","Gymnasiebehöriga",77
"Trelleborg","Kommunal","Samtliga","Gymnasieobehöriga",389
"Trelleborg","Enskild","Samtliga","Gymnasiebehöriga",10
"Trelleborg","Enskild","Samtliga","Gymnasieobehöriga",52
"Trollhättan","Samtliga","Samtliga","Gymnasiebehöriga",122
"Trollhättan","Samtliga","Samtliga","Gymnasieobehöriga",607
"Trollhättan","Kommunal","Samtliga","Gymnasiebehöriga",112
"Trollhättan","Kommunal","Samtliga","Gymnasieobehöriga",502
"Trollhättan","Enskild","Samtliga","Gymnasiebehöriga",10
"Trollhättan","Enskild","Samtliga","Gymnasieobehöriga",105
"Trosa","Samtliga","Samtliga","Gymnasiebehöriga",17
"Trosa","Samtliga","Samtliga","Gymnasieobehöriga",128
"Trosa","Kommunal","Samtliga","Gymnasiebehöriga",17
"Trosa","Kommunal","Samtliga","Gymnasieobehöriga",128
"Tyresö","Samtliga","Samtliga","Gymnasiebehöriga",78
"Tyresö","Samtliga","Samtliga","Gymnasieobehöriga",571
"Tyresö","Kommunal","Samtliga","Gymnasiebehöriga",74
"Tyresö","Kommunal","Samtliga","Gymnasieobehöriga",415
"Tyresö","Enskild","Samtliga","Gymnasiebehöriga",0
"Tyresö","Enskild","Samtliga","Gymnasieobehöriga",160
"Täby","Samtliga","Samtliga","Gymnasiebehöriga",85
"Täby","Samtliga","Samtliga","Gymnasieobehöriga",1197
"Täby","Kommunal","Samtliga","Gymnasiebehöriga",34
"Täby","Kommunal","Samtliga","Gymnasieobehöriga",488
"Täby","Enskild","Samtliga","Gymnasiebehöriga",50
"Täby","Enskild","Samtliga","Gymnasieobehöriga",710
"Töreboda","Samtliga","Samtliga","Gymnasiebehöriga",24
"Töreboda","Samtliga","Samtliga","Gymnasieobehöriga",73
"Töreboda","Kommunal","Samtliga","Gymnasiebehöriga",24
"Töreboda","Kommunal","Samtliga","Gymnasieobehöriga",73
"Uddevalla","Samtliga","Samtliga","Gymnasiebehöriga",112
"Uddevalla","Samtliga","Samtliga","Gymnasieobehöriga",517
"Uddevalla","Kommunal","Samtliga","Gymnasiebehöriga",99
"Uddevalla","Kommunal","Samtliga","Gymnasieobehöriga",429
"Uddevalla","Enskild","Samtliga","Gymnasiebehöriga",13
"Uddevalla","Enskild","Samtliga","Gymnasieobehöriga",88
"Ulricehamn","Samtliga","Samtliga","Gymnasiebehöriga",54
"Ulricehamn","Samtliga","Samtliga","Gymnasieobehöriga",219
"Ulricehamn","Kommunal","Samtliga","Gymnasiebehöriga",54
"Ulricehamn","Kommunal","Samtliga","Gymnasieobehöriga",219
"Umeå","Samtliga","Samtliga","Gymnasiebehöriga",144
"Umeå","Samtliga","Samtliga","Gymnasieobehöriga",1165
"Umeå","Kommunal","Samtliga","Gymnasiebehöriga",122
"Umeå","Kommunal","Samtliga","Gymnasieobehöriga",871
"Umeå","Enskild","Samtliga","Gymnasiebehöriga",22
"Umeå","Enskild","Samtliga","Gymnasieobehöriga",294
"Upplands Väsby","Samtliga","Samtliga","Gymnasiebehöriga",64
"Upplands Väsby","Samtliga","Samtliga","Gymnasieobehöriga",409
"Upplands Väsby","Kommunal","Samtliga","Gymnasiebehöriga",44
"Upplands Väsby","Kommunal","Samtliga","Gymnasieobehöriga",197
"Upplands Väsby","Enskild","Samtliga","Gymnasiebehöriga",20
"Upplands Väsby","Enskild","Samtliga","Gymnasieobehöriga",212
"Upplands-Bro","Samtliga","Samtliga","Gymnasiebehöriga",46
"Upplands-Bro","Samtliga","Samtliga","Gymnasieobehöriga",290
"Upplands-Bro","Kommunal","Samtliga","Gymnasiebehöriga",42
"Upplands-Bro","Kommunal","Samtliga","Gymnasieobehöriga",270
"Upplands-Bro","Enskild","Samtliga","Gymnasiebehöriga",0
"Upplands-Bro","Enskild","Samtliga","Gymnasieobehöriga",24
"Uppsala","Samtliga","Samtliga","Gymnasiebehöriga",313
"Uppsala","Samtliga","Samtliga","Gymnasieobehöriga",2113
"Uppsala","Kommunal","Samtliga","Gymnasiebehöriga",252
"Uppsala","Kommunal","Samtliga","Gymnasieobehöriga",1346
"Uppsala","Enskild","Samtliga","Gymnasiebehöriga",60
"Uppsala","Enskild","Samtliga","Gymnasieobehöriga",768
"Uppvidinge","Samtliga","Samtliga","Gymnasiebehöriga",38
"Uppvidinge","Samtliga","Samtliga","Gymnasieobehöriga",90
"Uppvidinge","Kommunal","Samtliga","Gymnasiebehöriga",38
"Uppvidinge","Kommunal","Samtliga","Gymnasieobehöriga",90
"Vadstena","Samtliga","Samtliga","Gymnasiebehöriga",0
"Vadstena","Samtliga","Samtliga","Gymnasieobehöriga",93
"Vadstena","Kommunal","Samtliga","Gymnasiebehöriga",0
"Vadstena","Kommunal","Samtliga","Gymnasieobehöriga",93
"Vaggeryd","Samtliga","Samtliga","Gymnasiebehöriga",37
"Vaggeryd","Samtliga","Samtliga","Gymnasieobehöriga",142
"Vaggeryd","Kommunal","Samtliga","Gymnasiebehöriga",37
"Vaggeryd","Kommunal","Samtliga","Gymnasieobehöriga",142
"Valdemarsvik","Samtliga","Samtliga","Gymnasiebehöriga",11
"Valdemarsvik","Samtliga","Samtliga","Gymnasieobehöriga",48
"Valdemarsvik","Kommunal","Samtliga","Gymnasiebehöriga",11
"Valdemarsvik","Kommunal","Samtliga","Gymnasieobehöriga",48
"Vallentuna","Samtliga","Samtliga","Gymnasiebehöriga",38
"Vallentuna","Samtliga","Samtliga","Gymnasieobehöriga",343
"Vallentuna","Kommunal","Samtliga","Gymnasiebehöriga",29
"Vallentuna","Kommunal","Samtliga","Gymnasieobehöriga",243
"Vallentuna","Enskild","Samtliga","Gymnasiebehöriga",0
"Vallentuna","Enskild","Samtliga","Gymnasieobehöriga",109
"Vansbro","Samtliga","Samtliga","Gymnasiebehöriga",18
"Vansbro","Samtliga","Samtliga","Gymnasieobehöriga",43
"Vansbro","Kommunal","Samtliga","Gymnasiebehöriga",18
"Vansbro","Kommunal","Samtliga","Gymnasieobehöriga",43
"Vara","Samtliga","Samtliga","Gymnasiebehöriga",35
"Vara","Samtliga","Samtliga","Gymnasieobehöriga",156
"Vara","Kommunal","Samtliga","Gymnasiebehöriga",35
"Vara","Kommunal","Samtliga","Gymnasieobehöriga",156
"Varberg","Samtliga","Samtliga","Gymnasiebehöriga",83
"Varberg","Samtliga","Samtliga","Gymnasieobehöriga",647
"Varberg","Kommunal","Samtliga","Gymnasiebehöriga",77
"Varberg","Kommunal","Samtliga","Gymnasieobehöriga",603
"Varberg","Enskild","Samtliga","Gymnasiebehöriga",0
"Varberg","Enskild","Samtliga","Gymnasieobehöriga",50
"Vaxholm","Samtliga","Samtliga","Gymnasiebehöriga",0
"Vaxholm","Samtliga","Samtliga","Gymnasieobehöriga",134
"Vaxholm","Kommunal","Samtliga","Gymnasiebehöriga",0
"Vaxholm","Kommunal","Samtliga","Gymnasieobehöriga",134
"Vellinge","Samtliga","Samtliga","Gymnasiebehöriga",30
"Vellinge","Samtliga","Samtliga","Gymnasieobehöriga",491
"Vellinge","Kommunal","Samtliga","Gymnasiebehöriga",23
"Vellinge","Kommunal","Samtliga","Gymnasieobehöriga",338
"Vellinge","Enskild","Samtliga","Gymnasiebehöriga",0
"Vellinge","Enskild","Samtliga","Gymnasieobehöriga",160
"Vetlanda","Samtliga","Samtliga","Gymnasiebehöriga",63
"Vetlanda","Samtliga","Samtliga","Gymnasieobehöriga",229
"Vetlanda","Kommunal","Samtliga","Gymnasiebehöriga",59
"Vetlanda","Kommunal","Samtliga","Gymnasieobehöriga",221
"Vetlanda","Enskild","Samtliga","Gymnasiebehöriga",0
"Vetlanda","Enskild","Samtliga","Gymnasieobehöriga",12
"Vilhelmina","Samtliga","Samtliga","Gymnasiebehöriga",13
"Vilhelmina","Samtliga","Samtliga","Gymnasieobehöriga",67
"Vilhelmina","Kommunal","Samtliga","Gymnasiebehöriga",12
"Vilhelmina","Kommunal","Samtliga","Gymnasieobehöriga",61
"Vilhelmina","Enskild","Samtliga","Gymnasiebehöriga",0
"Vilhelmina","Enskild","Samtliga","Gymnasieobehöriga",0
"Vimmerby","Samtliga","Samtliga","Gymnasiebehöriga",27
"Vimmerby","Samtliga","Samtliga","Gymnasieobehöriga",158
"Vimmerby","Kommunal","Samtliga","Gymnasiebehöriga",27
"Vimmerby","Kommunal","Samtliga","Gymnasieobehöriga",158
"Vindeln","Samtliga","Samtliga","Gymnasiebehöriga",10
"Vindeln","Samtliga","Samtliga","Gymnasieobehöriga",43
"Vindeln","Kommunal","Samtliga","Gymnasiebehöriga",10
"Vindeln","Kommunal","Samtliga","Gymnasieobehöriga",43
"Vingåker","Samtliga","Samtliga","Gymnasiebehöriga",39
"Vingåker","Samtliga","Samtliga","Gymnasieobehöriga",55
"Vingåker","Kommunal","Samtliga","Gymnasiebehöriga",39
"Vingåker","Kommunal","Samtliga","Gymnasieobehöriga",55
"Vårgårda","Samtliga","Samtliga","Gymnasiebehöriga",23
"Vårgårda","Samtliga","Samtliga","Gymnasieobehöriga",85
"Vårgårda","Kommunal","Samtliga","Gymnasiebehöriga",23
"Vårgårda","Kommunal","Samtliga","Gymnasieobehöriga",85
"Vänersborg","Samtliga","Samtliga","Gymnasiebehöriga",104
"Vänersborg","Samtliga","Samtliga","Gymnasieobehöriga",364
"Vänersborg","Kommunal","Samtliga","Gymnasiebehöriga",101
"Vänersborg","Kommunal","Samtliga","Gymnasieobehöriga",292
"Vänersborg","Enskild","Samtliga","Gymnasiebehöriga",0
"Vänersborg","Enskild","Samtliga","Gymnasieobehöriga",75
"Vännäs","Samtliga","Samtliga","Gymnasiebehöriga",23
"Vännäs","Samtliga","Samtliga","Gymnasieobehöriga",78
"Vännäs","Kommunal","Samtliga","Gymnasiebehöriga",23
"Vännäs","Kommunal","Samtliga","Gymnasieobehöriga",78
"Värmdö","Samtliga","Samtliga","Gymnasiebehöriga",48
"Värmdö","Samtliga","Samtliga","Gymnasieobehöriga",448
"Värmdö","Kommunal","Samtliga","Gymnasiebehöriga",47
"Värmdö","Kommunal","Samtliga","Gymnasieobehöriga",400
"Värmdö","Enskild","Samtliga","Gymnasiebehöriga",0
"Värmdö","Enskild","Samtliga","Gymnasieobehöriga",49
"Värnamo","Samtliga","Samtliga","Gymnasiebehöriga",88
"Värnamo","Samtliga","Samtliga","Gymnasieobehöriga",321
"Värnamo","Kommunal","Samtliga","Gymnasiebehöriga",88
"Värnamo","Kommunal","Samtliga","Gymnasieobehöriga",321
"Västervik","Samtliga","Samtliga","Gymnasiebehöriga",52
"Västervik","Samtliga","Samtliga","Gymnasieobehöriga",342
"Västervik","Kommunal","Samtliga","Gymnasiebehöriga",37
"Västervik","Kommunal","Samtliga","Gymnasieobehöriga",299
"Västervik","Enskild","Samtliga","Gymnasiebehöriga",15
"Västervik","Enskild","Samtliga","Gymnasieobehöriga",43
"Västerås","Samtliga","Samtliga","Gymnasiebehöriga",285
"Västerås","Samtliga","Samtliga","Gymnasieobehöriga",1445
"Västerås","Kommunal","Samtliga","Gymnasiebehöriga",232
"Västerås","Kommunal","Samtliga","Gymnasieobehöriga",840
"Västerås","Enskild","Samtliga","Gymnasiebehöriga",53
"Västerås","Enskild","Samtliga","Gymnasieobehöriga",605
"Växjö","Samtliga","Samtliga","Gymnasiebehöriga",187
"Växjö","Samtliga","Samtliga","Gymnasieobehöriga",900
"Växjö","Kommunal","Samtliga","Gymnasiebehöriga",173
"Växjö","Kommunal","Samtliga","Gymnasieobehöriga",709
"Växjö","Enskild","Samtliga","Gymnasiebehöriga",14
"Växjö","Enskild","Samtliga","Gymnasieobehöriga",191
"Ydre","Samtliga","Samtliga","Gymnasiebehöriga",0
"Ydre","Samtliga","Samtliga","Gymnasieobehöriga",30
"Ydre","Kommunal","Samtliga","Gymnasiebehöriga",0
"Ydre","Kommunal","Samtliga","Gymnasieobehöriga",30
"Ystad","Samtliga","Samtliga","Gymnasiebehöriga",42
"Ystad","Samtliga","Samtliga","Gymnasieobehöriga",350
"Ystad","Kommunal","Samtliga","Gymnasiebehöriga",34
"Ystad","Kommunal","Samtliga","Gymnasieobehöriga",267
"Ystad","Enskild","Samtliga","Gymnasiebehöriga",0
"Ystad","Enskild","Samtliga","Gymnasieobehöriga",91
"Åmål","Samtliga","Samtliga","Gymnasiebehöriga",23
"Åmål","Samtliga","Samtliga","Gymnasieobehöriga",111
"Åmål","Kommunal","Samtliga","Gymnasiebehöriga",23
"Åmål","Kommunal","Samtliga","Gymnasieobehöriga",111
"Ånge","Samtliga","Samtliga","Gymnasiebehöriga",22
"Ånge","Samtliga","Samtliga","Gymnasieobehöriga",70
"Ånge","Kommunal","Samtliga","Gymnasiebehöriga",20
"Ånge","Kommunal","Samtliga","Gymnasieobehöriga",59
"Ånge","Enskild","Samtliga","Gymnasiebehöriga",0
"Ånge","Enskild","Samtliga","Gymnasieobehöriga",13
"Åre","Samtliga","Samtliga","Gymnasiebehöriga",26
"Åre","Samtliga","Samtliga","Gymnasieobehöriga",101
"Åre","Kommunal","Samtliga","Gymnasiebehöriga",26
"Åre","Kommunal","Samtliga","Gymnasieobehöriga",101
"Årjäng","Samtliga","Samtliga","Gymnasiebehöriga",17
"Årjäng","Samtliga","Samtliga","Gymnasieobehöriga",93
