"region","Nivå","X2019"
"Ronneby","Region",12.04
"Karlshamn","Kommun",22.33
"Karlshamn","Region",12.04
"Sölvesborg","Kommun",21.82
"Sölvesborg","Region",12.04
"Svalöv","Kommun",20.74
"Svalöv","Region",11.18
"Staffanstorp","Kommun",19.54
"Staffanstorp","Region",11.18
"Burlöv","Kommun",20.09
"Burlöv","Region",11.18
"Vellinge","Kommun",18.5
"Vellinge","Region",11.18
"Östra Göinge","Kommun",20.99
"Östra Göinge","Region",11.18
"Örkelljunga","Kommun",19.06
"Örkelljunga","Region",11.18
"Bjuv","Kommun",20.99
"Bjuv","Region",11.18
"Kävlinge","Kommun",18.51
"Kävlinge","Region",11.18
"Lomma","Kommun",19.64
"Lomma","Region",11.18
"Svedala","Kommun",20.24
"Svedala","Region",11.18
"Skurup","Kommun",20.42
"Skurup","Region",11.18
"Sjöbo","Kommun",20.92
"Sjöbo","Region",11.18
"Hörby","Kommun",21.08
"Hörby","Region",11.18
"Höör","Kommun",21.75
"Höör","Region",11.18
"Tomelilla","Kommun",20.61
"Tomelilla","Region",11.18
"Bromölla","Kommun",22.56
"Bromölla","Region",11.18
"Osby","Kommun",22.26
"Osby","Region",11.18
"Perstorp","Kommun",20.81
"Perstorp","Region",11.18
"Klippan","Kommun",20.75
"Klippan","Region",11.18
"Åstorp","Kommun",20.29
"Åstorp","Region",11.18
"Båstad","Kommun",20.23
"Båstad","Region",11.18
"Malmö","Kommun",21.24
"Malmö","Region",11.18
"Lund","Kommun",21.24
"Lund","Region",11.18
"Landskrona","Kommun",20.24
"Landskrona","Region",11.18
"Helsingborg","Kommun",20.21
"Helsingborg","Region",11.18
"Höganäs","Kommun",19.73
"Höganäs","Region",11.18
"Eslöv","Kommun",20.54
"Eslöv","Region",11.18
"Ystad","Kommun",20.11
"Ystad","Region",11.18
"Trelleborg","Kommun",20.6
"Trelleborg","Region",11.18
"Kristianstad","Kommun",21.46
"Kristianstad","Region",11.18
"Simrishamn","Kommun",20.51
"Simrishamn","Region",11.18
"Ängelholm","Kommun",20.49
"Ängelholm","Region",11.18
"Hässleholm","Kommun",21.2
"Hässleholm","Region",11.18
"Hylte","Kommun",21.45
"Hylte","Region",11.4
"Halmstad","Kommun",20.98
"Halmstad","Region",11.4
"Laholm","Kommun",20.58
"Laholm","Region",11.4
"Falkenberg","Kommun",21.1
"Falkenberg","Region",11.4
